Time(s), Pressure(PSI)
0,13.8056
1.0,13.8199
2.0,13.8533
3.0,13.8766
4.0,13.8879
5.0,13.8707
6.0,13.9107
7.0,13.8801
8.0,13.887
9.0,13.8341
10.0,13.9077
11.0,13.9311
12.0,13.9073
13.0,13.8911
14.0,13.9369
15.0,13.9539
16.0,13.915
17.0,13.9452
18.0,13.931
19.0,13.9392
20.0,13.9323
21.0,13.9514
22.0,13.9352
23.0,13.9493
24.0,13.9503
25.0,13.9137
26.0,13.9588
27.0,13.9503
28.0,13.8795
29.0,13.9238
30.0,13.9211
31.0,13.9527
32.0,13.9432
33.0,13.9665
34.0,13.9668
35.0,13.9404
36.0,13.9318
37.0,13.9511
38.0,13.946
39.0,13.9369
40.0,13.9339
41.0,13.9127
42.0,13.9131
43.0,13.9442
44.0,13.9395
45.0,13.9115
46.0,13.9269
47.0,13.8993
48.0,13.9439
49.0,13.9484
50.0,13.9542
51.0,13.9716
52.0,13.9045
53.0,13.9432
54.0,13.9407
55.0,13.9503
56.0,13.9614
57.0,13.9226
58.0,13.907
59.0,13.9607
60.0,13.945
61.0,13.993
62.0,13.9483
63.0,13.9213
64.0,13.9339
65.0,13.9127
66.0,13.9829
67.0,13.9457
68.0,13.9572
69.0,13.9635
70.0,13.9548
71.0,13.9508
72.0,13.9817
73.0,13.9623
74.0,13.9687
75.0,13.9616
76.0,13.9327
77.0,13.9503
78.0,13.9601
79.0,13.9922
80.0,13.9406
81.0,13.9717
82.0,13.9099
83.0,13.9558
84.0,13.9608
85.0,13.9077
86.0,13.9779
87.0,13.9549
88.0,13.9553
89.0,13.936
90.0,13.9487
91.0,13.9566
92.0,13.9333
93.0,13.9594
94.0,13.9561
95.0,13.9472
96.0,13.9791
97.0,13.9462
98.0,13.9733
99.0,13.9476
100.0,13.9971
101.0,13.9839
102.0,13.9431
103.0,13.9884
104.0,13.9541
105.0,13.9812
106.0,13.936
107.0,13.9639
108.0,13.9562
109.0,13.9606
110.0,14.0088
111.0,13.9546
112.0,13.9983
113.0,13.9521
114.0,13.9237
115.0,13.9495
116.0,13.9676
117.0,13.9478
118.0,13.9448
119.0,13.9386
120.0,13.9597
121.0,13.9413
122.0,13.9994
123.0,13.9477
124.0,13.9357
125.0,13.9952
126.0,13.9504
127.0,13.9858
128.0,13.9774
129.0,13.9681
130.0,13.9544
131.0,13.9278
132.0,13.9615
133.0,13.9238
134.0,13.9644
135.0,14.0095
136.0,13.9404
137.0,14.0008
138.0,13.9531
139.0,13.9575
140.0,14.0155
141.0,13.9814
142.0,13.9157
143.0,13.952
144.0,13.9499
145.0,13.949
146.0,13.9717
147.0,13.9713
148.0,13.9677
149.0,13.9472
150.0,13.9665
151.0,13.9248
152.0,13.9675
153.0,13.9546
154.0,13.9563
155.0,13.9605
156.0,13.9718
157.0,13.9804
158.0,13.9805
159.0,13.9866
160.0,13.9794
161.0,13.9252
162.0,13.9461
163.0,13.9448
164.0,14.0153
165.0,14.0288
166.0,13.9774
167.0,13.9839
168.0,13.983
169.0,13.9583
170.0,13.9729
171.0,13.9827
172.0,13.959
173.0,13.9319
174.0,13.9951
175.0,14.0211
176.0,13.98
177.0,13.978
178.0,13.9578
179.0,13.9812
180.0,13.9982
181.0,13.9828
182.0,14.0064
183.0,13.9759
184.0,14.0219
185.0,14.0071
186.0,13.9948
187.0,13.9709
188.0,13.954
189.0,14.0036
190.0,14.0147
191.0,13.9653
192.0,14.024
193.0,13.9711
194.0,14.0321
195.0,14.002
196.0,14.0155
197.0,14.0093
198.0,13.983
199.0,13.9999
200.0,14.049
201.0,14.0234
202.0,14.0104
203.0,14.0025
204.0,14.0083
205.0,14.0547
206.0,14.0104
207.0,14.0281
208.0,14.0679
209.0,14.0585
210.0,14.0649
211.0,14.0224
212.0,14.0403
213.0,14.0702
214.0,14.1028
215.0,14.1036
216.0,14.1059
217.0,14.0603
218.0,14.1106
219.0,14.0915
220.0,14.078
221.0,14.069
222.0,14.1349
223.0,14.0869
224.0,14.0709
225.0,14.0977
226.0,14.1229
227.0,14.1301
228.0,14.0839
229.0,14.1466
230.0,14.1366
231.0,14.1017
232.0,14.0779
233.0,14.1084
234.0,14.1232
235.0,14.1133
236.0,14.0855
237.0,14.0867
238.0,14.1242
239.0,14.1023
240.0,14.1395
241.0,14.0881
242.0,14.1351
243.0,14.1386
244.0,14.1172
245.0,14.115
246.0,14.1219
247.0,14.1607
248.0,14.1537
249.0,14.1584
250.0,14.1486
251.0,14.0833
252.0,14.1258
253.0,14.1169
254.0,14.1033
255.0,14.1439
256.0,14.1208
257.0,14.1527
258.0,14.1926
259.0,14.145
260.0,14.1506
261.0,14.1581
262.0,14.1951
263.0,14.1452
264.0,14.163
265.0,14.128
266.0,14.1401
267.0,14.1074
268.0,14.1484
269.0,14.1666
270.0,14.1492
271.0,14.1732
272.0,14.1825
273.0,14.1566
274.0,14.1506
275.0,14.146
276.0,14.2063
277.0,14.1427
278.0,14.1387
279.0,14.1679
280.0,14.1358
281.0,14.1876
282.0,14.1628
283.0,14.1341
284.0,14.1861
285.0,14.1578
286.0,14.169
287.0,14.1964
288.0,14.1601
289.0,14.1928
290.0,14.1601
291.0,14.1798
292.0,14.1658
293.0,14.1832
294.0,14.1687
295.0,14.1633
296.0,14.1956
297.0,14.1642
298.0,14.1754
299.0,14.1895
300.0,14.1922
301.0,14.2228
302.0,14.2238
303.0,14.2346
304.0,14.1703
305.0,14.204
306.0,14.2135
307.0,14.1978
308.0,14.2262
309.0,14.2185
310.0,14.2297
311.0,14.1899
312.0,14.1781
313.0,14.1463
314.0,14.2287
315.0,14.1875
316.0,14.2248
317.0,14.1912
318.0,14.1797
319.0,14.2273
320.0,14.1962
321.0,14.1686
322.0,14.1743
323.0,14.2282
324.0,14.201
325.0,14.2294
326.0,14.1932
327.0,14.1734
328.0,14.1972
329.0,14.2255
330.0,14.2274
331.0,14.1819
332.0,14.2047
333.0,14.2315
334.0,14.2381
335.0,14.2035
336.0,14.214
337.0,14.2322
338.0,14.2019
339.0,14.2207
340.0,14.2442
341.0,14.1867
342.0,14.2567
343.0,14.2397
344.0,14.2342
345.0,14.2306
346.0,14.2147
347.0,14.2098
348.0,14.2346
349.0,14.2628
350.0,14.1909
351.0,14.2195
352.0,14.1924
353.0,14.2038
354.0,14.2209
355.0,14.2452
356.0,14.1954
357.0,14.2457
358.0,14.2495
359.0,14.2349
360.0,14.2575
361.0,14.2305
362.0,14.2428
363.0,14.2494
364.0,14.215
365.0,14.2398
366.0,14.2173
367.0,14.2317
368.0,14.2631
369.0,14.2406
370.0,14.1979
371.0,14.2744
372.0,14.2551
373.0,14.239
374.0,14.2819
375.0,14.2431
376.0,14.2895
377.0,14.2573
378.0,14.2525
379.0,14.2707
380.0,14.2748
381.0,14.2313
382.0,14.2751
383.0,14.2586
384.0,14.2541
385.0,14.2469
386.0,14.2408
387.0,14.2803
388.0,14.2381
389.0,14.2325
390.0,14.2884
391.0,14.2682
392.0,14.2837
393.0,14.2376
394.0,14.2392
395.0,14.2797
396.0,14.2747
397.0,14.2577
398.0,14.2664
399.0,14.2423
400.0,14.2612
401.0,14.2749
402.0,14.3169
403.0,14.289
404.0,14.2971
405.0,14.2938
406.0,14.262
407.0,14.2541
408.0,14.3059
409.0,14.2577
410.0,14.3285
411.0,14.2746
412.0,14.2872
413.0,14.2811
414.0,14.2855
415.0,14.2857
416.0,14.2772
417.0,14.2674
418.0,14.2991
419.0,14.31
420.0,14.2649
421.0,14.3072
422.0,14.3053
423.0,14.3334
424.0,14.3607
425.0,14.3332
426.0,14.2673
427.0,14.2821
428.0,14.3054
429.0,14.2959
430.0,14.2977
431.0,14.2842
432.0,14.3042
433.0,14.2768
434.0,14.3266
435.0,14.2931
436.0,14.3144
437.0,14.324
438.0,14.294
439.0,14.337
440.0,14.3223
441.0,14.3752
442.0,14.3641
443.0,14.3007
444.0,14.3437
445.0,14.355
446.0,14.3597
447.0,14.3269
448.0,14.3581
449.0,14.3676
450.0,14.3839
451.0,14.3813
452.0,14.3983
453.0,14.3864
454.0,14.3769
455.0,14.3863
456.0,14.4041
457.0,14.4534
458.0,14.4595
459.0,14.4728
460.0,14.4
461.0,14.3854
462.0,14.394
463.0,14.4359
464.0,14.3943
465.0,14.4116
466.0,14.43
467.0,14.433
468.0,14.4563
469.0,14.4187
470.0,14.435
471.0,14.4248
472.0,14.4313
473.0,14.4198
474.0,14.4089
475.0,14.4704
476.0,14.4576
477.0,14.4343
478.0,14.4433
479.0,14.4571
480.0,14.462
481.0,14.4424
482.0,14.3944
483.0,14.4766
484.0,14.4888
485.0,14.4762
486.0,14.4577
487.0,14.4882
488.0,14.4731
489.0,14.4745
490.0,14.4677
491.0,14.4556
492.0,14.4772
493.0,14.5067
494.0,14.5137
495.0,14.4966
496.0,14.4753
497.0,14.4757
498.0,14.542
499.0,14.5352
500.0,14.4681
501.0,14.4797
502.0,14.4894
503.0,14.491
504.0,14.5237
505.0,14.507
506.0,14.5176
507.0,14.5119
508.0,14.4811
509.0,14.5353
510.0,14.4993
511.0,14.5252
512.0,14.4952
513.0,14.5482
514.0,14.5348
515.0,14.5454
516.0,14.5241
517.0,14.4821
518.0,14.5461
519.0,14.5425
520.0,14.5274
521.0,14.4892
522.0,14.5282
523.0,14.5094
524.0,14.4923
525.0,14.5216
526.0,14.5268
527.0,14.5236
528.0,14.5548
529.0,14.5354
530.0,14.5438
531.0,14.5962
532.0,14.5644
533.0,14.5951
534.0,14.5586
535.0,14.5602
536.0,14.556
537.0,14.5529
538.0,14.5225
539.0,14.5506
540.0,14.5543
541.0,14.5355
542.0,14.5238
543.0,14.5138
544.0,14.5493
545.0,14.5366
546.0,14.5593
547.0,14.5245
548.0,14.5406
549.0,14.5307
550.0,14.5546
551.0,14.5225
552.0,14.5589
553.0,14.5261
554.0,14.5605
555.0,14.5528
556.0,14.5239
557.0,14.5378
558.0,14.5705
559.0,14.5123
560.0,14.5078
561.0,14.5281
562.0,14.5497
563.0,14.5491
564.0,14.57
565.0,14.5325
566.0,14.5586
567.0,14.5275
568.0,14.5147
569.0,14.5677
570.0,14.5653
571.0,14.576
572.0,14.5774
573.0,14.5175
574.0,14.5476
575.0,14.5312
576.0,14.5282
577.0,14.5067
578.0,14.5443
579.0,14.543
580.0,14.5115
581.0,14.5563
582.0,14.5497
583.0,14.5516
584.0,14.5294
585.0,14.5668
586.0,14.4981
587.0,14.5353
588.0,14.5414
589.0,14.5589
590.0,14.5452
591.0,14.5532
592.0,14.5304
593.0,14.5835
594.0,14.52
595.0,14.5342
596.0,14.5496
597.0,14.5269
598.0,14.5702
599.0,14.5768
600.0,14.5848
601.0,14.554
602.0,14.5501
603.0,14.5652
604.0,14.5228
605.0,14.4868
606.0,14.5405
607.0,14.5482
608.0,14.5661
609.0,14.5572
610.0,14.5872
611.0,14.5477
612.0,14.5677
613.0,14.5872
614.0,14.5775
615.0,14.5376
616.0,14.5007
617.0,14.5463
618.0,14.5698
619.0,14.5734
620.0,14.5683
621.0,14.5573
622.0,14.5305
623.0,14.5619
624.0,14.5663
625.0,14.5652
626.0,14.5181
627.0,14.578
628.0,14.5476
629.0,14.6012
630.0,14.5439
631.0,14.5805
632.0,14.5687
633.0,14.5759
634.0,14.5894
635.0,14.5652
636.0,14.5833
637.0,14.5697
638.0,14.5355
639.0,14.5682
640.0,14.6174
641.0,14.5948
642.0,14.5702
643.0,14.5555
644.0,14.5385
645.0,14.5764
646.0,14.5694
647.0,14.5896
648.0,14.5745
649.0,14.5915
650.0,14.5688
651.0,14.57
652.0,14.629
653.0,14.6034
654.0,14.5698
655.0,14.5463
656.0,14.5962
657.0,14.634
658.0,14.6273
659.0,14.595
660.0,14.6025
661.0,14.5875
662.0,14.6135
663.0,14.5962
664.0,14.6216
665.0,14.629
666.0,14.647
667.0,14.6085
668.0,14.6265
669.0,14.5781
670.0,14.6443
671.0,14.6569
672.0,14.6742
673.0,14.6275
674.0,14.612
675.0,14.6627
676.0,14.6842
677.0,14.7051
678.0,14.6885
