Time(s), Pressure(PSI)
0,14.4239
1.0,14.4775
2.0,14.4452
3.0,14.4956
4.0,14.4495
5.0,14.4654
6.0,14.4501
7.0,14.4622
8.0,14.4703
9.0,14.4913
10.0,14.4415
11.0,14.4916
12.0,14.4566
13.0,14.4302
14.0,14.4447
15.0,14.4306
16.0,14.4496
17.0,14.4211
18.0,14.4386
19.0,14.3995
20.0,14.4545
21.0,14.4293
22.0,14.4244
23.0,14.5055
24.0,14.4469
25.0,14.4342
26.0,14.4402
27.0,14.4678
28.0,14.4149
29.0,14.4621
30.0,14.4627
31.0,14.4383
32.0,14.4548
33.0,14.4731
34.0,14.4857
35.0,14.4446
36.0,14.4731
37.0,14.4542
38.0,14.4342
39.0,14.4585
40.0,14.4421
41.0,14.4192
42.0,14.4612
43.0,14.474
44.0,14.4342
45.0,14.4147
46.0,14.4296
47.0,14.4701
48.0,14.4419
49.0,14.4614
50.0,14.47
51.0,14.4634
52.0,14.467
53.0,14.439
54.0,14.4554
55.0,14.4007
56.0,14.4539
57.0,14.448
58.0,14.4675
59.0,14.4676
60.0,14.4555
61.0,14.4849
62.0,14.4167
63.0,14.5094
64.0,14.4505
65.0,14.4477
66.0,14.4567
67.0,14.4877
68.0,14.4745
69.0,14.4135
70.0,14.4528
71.0,14.4336
72.0,14.4392
73.0,14.4401
74.0,14.4608
75.0,14.4204
76.0,14.4447
77.0,14.4452
78.0,14.4631
79.0,14.4306
80.0,14.4494
81.0,14.4704
82.0,14.4641
83.0,14.4617
84.0,14.4367
85.0,14.4487
86.0,14.4542
87.0,14.4527
88.0,14.5007
89.0,14.4406
90.0,14.4269
91.0,14.4397
92.0,14.4365
93.0,14.4418
94.0,14.4716
95.0,14.4938
96.0,14.4469
97.0,14.4533
98.0,14.4806
99.0,14.4828
100.0,14.442
101.0,14.4608
102.0,14.4341
103.0,14.4351
104.0,14.478
105.0,14.4207
106.0,14.4631
107.0,14.4382
108.0,14.4639
109.0,14.425
110.0,14.48
111.0,14.4638
112.0,14.4928
113.0,14.4433
114.0,14.4454
115.0,14.4625
116.0,14.4167
117.0,14.5097
118.0,14.4626
119.0,14.5201
120.0,14.4277
121.0,14.4372
122.0,14.4572
123.0,14.4281
124.0,14.4988
125.0,14.459
126.0,14.4377
127.0,14.4899
128.0,14.4589
129.0,14.4517
130.0,14.4494
131.0,14.4795
132.0,14.4025
133.0,14.4043
134.0,14.4358
135.0,14.4621
136.0,14.4515
137.0,14.4672
138.0,14.49
139.0,14.468
140.0,14.4615
141.0,14.4633
142.0,14.3935
143.0,14.415
144.0,14.4633
145.0,14.4262
146.0,14.429
147.0,14.4273
148.0,14.4288
149.0,14.4478
150.0,14.4437
151.0,14.423
152.0,14.4434
153.0,14.4479
154.0,14.4528
155.0,14.4358
156.0,14.4534
157.0,14.4717
158.0,14.4138
159.0,14.389
160.0,14.4026
161.0,14.4308
162.0,14.4334
163.0,14.4334
164.0,14.4849
165.0,14.4325
166.0,14.4655
167.0,14.4725
168.0,14.3871
169.0,14.4491
170.0,14.433
171.0,14.438
172.0,14.4405
173.0,14.4335
174.0,14.4577
175.0,14.503
176.0,14.4324
177.0,14.4287
178.0,14.4748
179.0,14.4812
180.0,14.4878
181.0,14.4352
182.0,14.4509
183.0,14.4212
