Time(s), Pressure(PSI)
0,14.3615
1.0,14.3953
2.0,14.405
3.0,14.3836
4.0,14.3743
5.0,14.3689
6.0,14.3681
7.0,14.3599
8.0,14.3762
9.0,14.3821
10.0,14.3761
11.0,14.3549
12.0,14.3631
13.0,14.3772
14.0,14.3847
15.0,14.3809
16.0,14.3951
17.0,14.3592
18.0,14.3211
19.0,14.3797
20.0,14.383
21.0,14.4045
22.0,14.3719
23.0,14.4168
24.0,14.3947
25.0,14.3582
26.0,14.3723
27.0,14.3964
28.0,14.3819
29.0,14.3857
30.0,14.4163
31.0,14.3753
32.0,14.373
33.0,14.3765
34.0,14.3412
35.0,14.3594
36.0,14.3213
37.0,14.3884
38.0,14.3342
39.0,14.3722
40.0,14.3654
41.0,14.3628
42.0,14.3539
43.0,14.3752
44.0,14.3816
45.0,14.333
46.0,14.3897
47.0,14.3799
48.0,14.3644
49.0,14.3103
50.0,14.3258
51.0,14.3867
52.0,14.3824
53.0,14.3696
54.0,14.3451
55.0,14.3373
56.0,14.3116
57.0,14.3971
58.0,14.3543
59.0,14.4045
60.0,14.392
61.0,14.3678
62.0,14.3895
63.0,14.3741
64.0,14.416
65.0,14.3623
66.0,14.42
67.0,14.3877
68.0,14.4361
69.0,14.3582
70.0,14.4102
71.0,14.382
72.0,14.3246
73.0,14.3943
74.0,14.3466
75.0,14.3731
76.0,14.3811
77.0,14.3881
78.0,14.3621
79.0,14.3539
80.0,14.3954
81.0,14.3648
82.0,14.3524
83.0,14.3681
84.0,14.3645
85.0,14.3641
86.0,14.3647
87.0,14.3981
88.0,14.3556
89.0,14.3868
90.0,14.3421
91.0,14.3871
92.0,14.3761
93.0,14.3424
94.0,14.3363
95.0,14.352
96.0,14.3612
97.0,14.3714
98.0,14.3974
99.0,14.3822
100.0,14.3457
101.0,14.3874
102.0,14.3907
103.0,14.3711
104.0,14.3795
105.0,14.3823
106.0,14.366
107.0,14.3727
108.0,14.3421
109.0,14.3943
110.0,14.366
111.0,14.3855
112.0,14.3822
113.0,14.3753
114.0,14.3986
115.0,14.3765
116.0,14.3542
117.0,14.4032
118.0,14.3726
119.0,14.3786
120.0,14.3469
121.0,16.2662
122.0,16.7266
123.0,17.1667
124.0,17.487
125.0,17.7877
126.0,18.16
127.0,18.4026
128.0,18.7387
129.0,19.0219
130.0,19.3249
131.0,19.661
132.0,19.9681
133.0,20.315
134.0,20.6407
135.0,20.9706
136.0,21.3221
137.0,21.7795
138.0,22.1528
139.0,22.4899
140.0,22.9471
141.0,23.3263
142.0,23.8234
143.0,24.2908
144.0,24.7377
145.0,25.2694
146.0,25.7389
147.0,26.3117
148.0,26.8139
149.0,27.4906
150.0,28.0253
151.0,28.6672
152.0,29.2982
153.0,30.0358
154.0,30.7335
155.0,31.5282
156.0,32.292
157.0,33.0782
158.0,33.9291
159.0,34.8468
160.0,35.814
161.0,36.8316
162.0,37.8642
163.0,38.9626
164.0,40.0233
165.0,41.2082
166.0,42.4479
167.0,43.7246
168.0,45.0771
169.0,46.4103
170.0,47.8808
171.0,49.4251
172.0,51.0071
173.0,52.5858
174.0,54.1102
175.0,55.6999
176.0,57.2681
177.0,58.8578
178.0,60.2645
179.0,61.6055
180.0,62.7142
181.0,63.6029
182.0,64.2001
183.0,64.5161
184.0,64.959
185.0,65.1247
186.0,65.2496
187.0,65.4071
188.0,65.554
189.0,65.6559
190.0,65.6657
191.0,65.7247
192.0,65.7421
193.0,65.7202
194.0,65.6318
195.0,65.6239
196.0,65.5654
197.0,65.5125
198.0,65.4774
199.0,65.4993
200.0,65.5011
201.0,65.4628
202.0,65.4208
203.0,65.4502
204.0,65.4294
205.0,65.4428
206.0,65.5545
207.0,65.5878
208.0,65.558
209.0,65.6011
210.0,65.5377
211.0,65.5451
212.0,65.7562
213.0,65.9767
214.0,66.1641
215.0,66.3953
216.0,66.4849
217.0,66.4916
218.0,66.5476
219.0,66.5976
220.0,66.7452
221.0,66.8102
222.0,66.7442
223.0,66.8484
224.0,67.2413
225.0,67.6404
226.0,67.8575
227.0,68.0204
228.0,68.2504
229.0,68.2048
230.0,67.9903
231.0,67.2419
232.0,66.8551
233.0,66.6552
234.0,66.5419
235.0,66.529
236.0,66.5119
237.0,66.6216
238.0,66.7112
239.0,66.7934
240.0,66.8455
241.0,66.9212
242.0,67.0
243.0,67.0327
244.0,67.0459
245.0,67.1318
246.0,67.1238
247.0,67.2209
248.0,67.221
249.0,67.238
250.0,67.2019
251.0,67.2147
252.0,67.2652
253.0,67.5163
254.0,67.4032
255.0,67.429
256.0,67.5831
257.0,67.5335
258.0,67.5146
259.0,67.5303
260.0,67.6098
261.0,67.5616
262.0,67.614
263.0,67.591
264.0,67.6213
265.0,67.5606
266.0,67.5131
267.0,67.6424
268.0,67.5643
269.0,67.5721
270.0,67.6194
271.0,67.6438
272.0,67.6827
273.0,67.6698
274.0,67.7037
275.0,67.6945
276.0,67.7076
277.0,67.6493
278.0,67.6944
279.0,67.699
280.0,67.6064
281.0,67.6749
282.0,67.6413
283.0,67.6216
284.0,67.7253
285.0,67.7454
286.0,67.75
287.0,67.758
288.0,67.7626
289.0,67.7494
290.0,67.6905
291.0,67.6408
292.0,67.8026
293.0,67.9387
294.0,68.0197
295.0,67.9786
296.0,68.0177
297.0,67.9159
298.0,67.8639
299.0,67.9144
300.0,67.9562
301.0,67.92
302.0,67.874
303.0,68.0825
304.0,67.9776
305.0,67.9796
306.0,68.1284
307.0,68.1269
308.0,68.0661
309.0,67.966
310.0,67.9849
311.0,67.9935
312.0,67.9767
313.0,67.9332
314.0,68.1492
315.0,68.2625
316.0,68.25
317.0,67.9866
318.0,68.093
319.0,67.8984
320.0,67.9534
321.0,67.6437
322.0,67.48
323.0,67.4214
324.0,67.7103
325.0,68.1034
326.0,68.326
327.0,68.3734
328.0,68.3308
329.0,68.0568
330.0,67.6923
331.0,67.5756
332.0,67.4694
333.0,67.5462
334.0,67.5749
335.0,67.7129
336.0,67.8438
337.0,67.8642
338.0,68.0015
339.0,68.0985
340.0,68.1148
341.0,68.1256
342.0,68.1045
343.0,68.0855
344.0,68.0012
345.0,68.0343
346.0,68.0437
347.0,68.1073
348.0,68.0668
349.0,68.0274
350.0,68.1454
351.0,68.1529
352.0,68.1572
353.0,68.3194
354.0,68.3624
355.0,68.2968
356.0,68.3246
357.0,68.3509
358.0,68.4138
359.0,68.2788
360.0,68.265
361.0,68.4337
362.0,68.3525
363.0,68.2643
364.0,68.2875
365.0,68.1763
366.0,68.168
367.0,68.2651
368.0,68.2966
369.0,68.3592
370.0,68.264
371.0,68.2075
372.0,68.3554
373.0,68.3392
374.0,68.2472
375.0,68.3989
376.0,68.3312
377.0,68.263
378.0,68.3009
379.0,68.3197
380.0,68.228
381.0,68.2504
382.0,68.4321
383.0,68.4171
384.0,68.4703
385.0,68.437
386.0,68.4996
387.0,68.4979
388.0,68.405
389.0,68.3039
390.0,68.3046
391.0,68.3325
392.0,68.224
393.0,68.3189
394.0,68.4392
395.0,68.4527
396.0,68.4912
397.0,68.6916
398.0,68.5029
399.0,68.1641
400.0,66.1466
401.0,62.9824
402.0,60.5817
403.0,58.6552
404.0,57.076
405.0,55.779
406.0,54.6858
407.0,53.7575
408.0,53.0396
409.0,52.381
410.0,51.7879
411.0,51.2511
412.0,50.8575
413.0,50.4598
414.0,50.1291
415.0,49.9395
416.0,49.6929
417.0,49.4628
418.0,49.2948
419.0,49.1195
420.0,48.9227
421.0,48.7904
422.0,48.6763
423.0,48.5973
424.0,48.4551
