Time(s), Pressure(PSI)
0,14.7324
1.0,14.6971
2.0,14.6908
3.0,14.7482
4.0,14.7149
5.0,14.7316
6.0,14.6654
7.0,14.6769
8.0,14.7045
9.0,14.7413
10.0,14.7056
11.0,14.697
12.0,14.7187
13.0,14.7106
14.0,14.7313
15.0,14.7261
16.0,14.6544
17.0,14.7023
18.0,14.691
19.0,14.6935
20.0,14.7003
21.0,14.6977
22.0,14.7272
23.0,14.6922
24.0,14.7085
25.0,14.7289
26.0,14.68
27.0,14.7072
28.0,14.6905
29.0,14.7239
30.0,14.6961
31.0,14.7189
32.0,14.6768
33.0,14.7189
34.0,14.6524
35.0,14.6934
36.0,14.6588
37.0,14.6121
38.0,14.7129
39.0,14.6503
40.0,14.6853
41.0,14.6354
42.0,14.6785
43.0,14.6402
44.0,14.6724
45.0,14.6878
46.0,14.6733
47.0,14.6456
48.0,14.6742
49.0,14.706
50.0,14.7279
51.0,14.6779
52.0,14.6705
53.0,14.6588
54.0,14.6467
55.0,14.7165
56.0,14.6529
57.0,14.7016
58.0,14.6748
59.0,14.6726
60.0,14.6697
61.0,14.6695
62.0,14.6827
63.0,14.7115
64.0,14.6495
65.0,14.6685
66.0,14.6848
67.0,14.6935
68.0,14.6552
69.0,14.6786
70.0,14.6987
71.0,14.6688
72.0,14.6525
73.0,14.6697
74.0,14.6302
75.0,14.663
76.0,14.7198
77.0,14.6787
78.0,14.6868
79.0,14.6597
80.0,14.7176
81.0,14.6143
82.0,14.669
83.0,14.6542
84.0,14.699
85.0,14.7092
86.0,14.6803
87.0,14.719
88.0,14.6879
89.0,14.6963
90.0,14.6461
91.0,14.6682
92.0,14.677
93.0,14.659
94.0,14.634
95.0,14.6644
96.0,14.6889
97.0,14.7056
98.0,14.6677
99.0,14.6732
100.0,14.6629
101.0,14.6971
102.0,14.6912
103.0,14.6682
104.0,14.6819
105.0,14.6891
106.0,14.6591
107.0,14.6609
108.0,14.6805
109.0,14.6485
110.0,14.7078
111.0,14.6925
112.0,14.6719
113.0,14.6627
114.0,14.6897
115.0,14.6576
116.0,14.7058
117.0,14.6651
118.0,14.6759
119.0,14.6861
120.0,14.6848
121.0,14.6521
122.0,14.6677
123.0,14.685
124.0,14.6374
125.0,14.6427
126.0,14.6353
127.0,14.6617
128.0,14.6356
129.0,14.6648
130.0,14.7276
131.0,14.6261
132.0,14.6668
133.0,14.6457
134.0,14.6788
135.0,14.6258
136.0,14.6498
137.0,14.6266
138.0,14.6224
139.0,14.5723
140.0,14.5851
141.0,14.5687
142.0,14.5463
143.0,14.5489
144.0,14.554
145.0,14.5097
146.0,14.5358
147.0,14.4763
148.0,14.4813
149.0,14.4677
150.0,14.4646
151.0,14.456
152.0,14.4808
153.0,14.5163
154.0,14.4678
155.0,14.4696
156.0,14.4811
157.0,14.5101
158.0,14.4768
159.0,14.4265
160.0,14.426
161.0,14.4719
162.0,14.4565
163.0,14.4618
164.0,14.4725
165.0,14.4814
166.0,14.4517
167.0,14.4708
168.0,14.5209
169.0,14.4782
170.0,14.4772
171.0,14.4513
172.0,14.4631
173.0,14.4756
174.0,14.4705
175.0,14.4678
176.0,14.4677
177.0,14.4793
178.0,14.4543
179.0,14.4455
180.0,14.4713
181.0,14.4287
182.0,14.4637
183.0,14.4534
184.0,14.4399
185.0,14.4806
186.0,14.4379
187.0,14.4553
188.0,14.4674
189.0,14.4535
190.0,14.4337
191.0,14.4596
192.0,14.4519
193.0,14.4391
194.0,14.4573
195.0,14.4643
196.0,14.3959
197.0,14.4279
198.0,14.3693
199.0,14.4297
200.0,14.3615
201.0,14.3912
202.0,14.3866
203.0,14.4054
204.0,14.368
205.0,14.3995
206.0,14.3647
207.0,14.3579
208.0,14.3411
209.0,14.3778
210.0,14.3574
211.0,14.3693
212.0,14.3257
213.0,14.3828
214.0,14.3759
215.0,14.3282
216.0,14.351
217.0,14.3854
218.0,14.3799
219.0,14.3756
220.0,14.3457
221.0,14.3466
222.0,14.357
223.0,14.4059
224.0,14.3896
225.0,14.3391
226.0,14.3728
227.0,14.3534
228.0,14.3901
229.0,14.3705
230.0,14.3109
231.0,14.3754
232.0,14.4147
233.0,14.3563
234.0,14.3077
235.0,14.3551
236.0,14.3482
237.0,14.3385
238.0,14.3279
239.0,14.2915
240.0,14.3249
241.0,14.2863
242.0,14.3094
243.0,14.3449
244.0,14.3571
245.0,14.3159
246.0,14.3128
247.0,14.3472
248.0,14.3593
249.0,14.2961
250.0,14.3194
251.0,14.3179
252.0,14.3124
253.0,14.3026
254.0,14.321
255.0,14.3239
256.0,14.2982
257.0,14.3123
258.0,14.3058
259.0,14.3332
260.0,14.3185
261.0,14.3103
262.0,14.3581
263.0,14.3607
264.0,14.3313
265.0,14.3069
266.0,14.2879
267.0,14.291
268.0,14.3447
269.0,14.2837
270.0,14.3335
271.0,14.2704
272.0,14.2732
273.0,14.3217
274.0,14.266
275.0,14.2561
276.0,14.2761
277.0,14.2856
278.0,14.2582
279.0,14.2615
280.0,14.2556
281.0,14.28
282.0,14.255
283.0,14.2661
284.0,14.276
285.0,14.248
286.0,14.251
287.0,14.2754
288.0,14.2854
289.0,14.222
290.0,14.286
291.0,14.2424
292.0,14.2287
293.0,14.2185
294.0,14.2531
295.0,14.254
296.0,14.284
297.0,14.2537
298.0,14.3048
299.0,14.2247
300.0,14.2278
301.0,14.2785
302.0,14.3016
