Time(s), Pressure(PSI)
0,25.1551
1.0,25.1109
2.0,25.1971
3.0,25.1759
4.0,25.1721
5.0,25.1452
6.0,25.1784
7.0,25.2612
8.0,25.1577
9.0,25.2049
10.0,25.1372
11.0,25.1912
12.0,25.2046
13.0,25.1366
14.0,25.1749
15.0,25.2128
16.0,25.1832
17.0,25.1882
18.0,25.1576
19.0,25.1782
20.0,25.1827
21.0,25.2476
22.0,25.2147
23.0,25.1298
24.0,25.1447
25.0,25.2087
26.0,25.1654
27.0,25.1778
28.0,25.126
29.0,25.2189
30.0,25.1627
31.0,25.2219
32.0,25.1821
33.0,25.1899
34.0,25.167
35.0,25.1754
36.0,25.1899
37.0,25.1642
38.0,25.1502
39.0,25.1286
40.0,25.1824
41.0,25.1884
42.0,25.1744
43.0,25.1581
44.0,25.1612
45.0,25.1849
46.0,25.1389
47.0,25.152
48.0,25.1103
49.0,25.1307
50.0,25.1313
51.0,25.1684
52.0,25.16
53.0,25.113
54.0,25.1206
55.0,25.1475
56.0,25.1161
57.0,25.1609
58.0,25.1841
59.0,25.113
60.0,25.1517
61.0,25.1353
62.0,25.1335
63.0,25.079
64.0,25.0924
65.0,25.09
66.0,25.0716
67.0,25.0996
68.0,25.0418
69.0,25.0459
70.0,25.013
71.0,24.9605
72.0,24.9665
73.0,25.0039
74.0,24.9929
75.0,24.9846
76.0,24.9592
77.0,24.9371
78.0,24.9191
79.0,24.9247
80.0,24.9138
81.0,24.8963
82.0,24.8922
83.0,24.8192
84.0,24.8695
85.0,24.8864
86.0,24.8217
87.0,24.8301
88.0,24.7874
89.0,24.8046
90.0,24.8099
91.0,24.7346
92.0,24.7745
93.0,24.8165
94.0,24.8152
95.0,24.7771
96.0,24.7956
97.0,24.7725
98.0,24.8169
99.0,24.8029
100.0,24.7766
101.0,24.7551
102.0,24.8119
103.0,24.8765
104.0,24.8319
105.0,24.8329
106.0,24.879
107.0,24.8492
108.0,24.8337
109.0,24.8516
110.0,24.8719
111.0,24.9191
112.0,24.9349
113.0,24.9046
114.0,24.9168
115.0,24.9419
116.0,24.9374
117.0,24.9988
118.0,24.9838
119.0,24.9945
120.0,24.99
121.0,25.0306
122.0,25.0331
123.0,25.0337
124.0,25.0458
125.0,25.0127
126.0,24.9816
127.0,25.0712
128.0,25.0923
129.0,25.1322
130.0,25.1368
131.0,25.1085
132.0,25.127
133.0,25.1629
134.0,25.1856
135.0,25.1153
136.0,25.2333
137.0,25.215
138.0,25.2471
139.0,25.291
140.0,25.2848
141.0,25.3044
142.0,25.3335
143.0,25.3213
144.0,25.3399
145.0,25.3468
146.0,25.3901
147.0,25.4328
148.0,25.4702
149.0,25.4872
150.0,25.5241
151.0,25.5415
152.0,25.5323
153.0,25.5252
154.0,25.6279
155.0,25.6115
156.0,25.6269
157.0,25.6495
158.0,25.714
159.0,25.7492
160.0,25.7244
161.0,25.7864
162.0,25.8185
163.0,25.8027
164.0,25.8235
165.0,25.879
166.0,25.911
167.0,25.9255
168.0,25.991
169.0,26.0029
170.0,26.0185
171.0,26.034
172.0,26.065
173.0,26.1098
174.0,26.0831
175.0,26.1428
176.0,26.1786
177.0,26.2124
178.0,26.2257
179.0,26.2259
180.0,26.2843
181.0,26.3053
182.0,26.3642
183.0,26.3811
184.0,26.4266
185.0,26.3975
186.0,26.4433
187.0,26.4861
188.0,26.5343
