Time(s), Pressure(PSI)
0,13.8378
1.0,13.8829
2.0,13.9211
3.0,13.8778
4.0,13.8587
5.0,13.8876
6.0,13.859
7.0,13.8501
8.0,13.8991
9.0,13.8933
10.0,13.8726
11.0,13.9126
12.0,13.9117
13.0,13.8877
14.0,13.9195
15.0,13.9575
16.0,13.8913
17.0,13.86
18.0,13.9352
19.0,13.8436
20.0,13.8889
21.0,13.9273
22.0,13.926
23.0,13.9386
24.0,13.8794
25.0,13.868
26.0,13.908
27.0,13.8841
28.0,13.8998
29.0,13.9102
30.0,13.9415
31.0,13.89
32.0,13.8662
33.0,13.8769
34.0,13.8616
35.0,13.9071
36.0,13.8968
37.0,13.8686
38.0,13.9328
39.0,13.9025
40.0,13.9129
41.0,13.8782
