Time(s), Pressure(PSI)
0,23.867
1.0,23.8591
2.0,23.753
3.0,23.661
4.0,23.6242
5.0,23.6203
6.0,23.5092
7.0,23.4484
8.0,23.4044
9.0,23.3834
10.0,23.303
11.0,23.2334
12.0,23.2409
13.0,23.1665
14.0,23.0981
15.0,23.0452
16.0,22.9662
17.0,22.9546
18.0,22.8752
19.0,22.8249
20.0,22.7658
21.0,22.7348
22.0,22.6921
23.0,22.6072
24.0,22.6089
25.0,22.5007
26.0,22.565
27.0,22.4992
28.0,22.4972
29.0,22.5313
30.0,22.5321
31.0,22.6018
32.0,22.5378
33.0,22.5426
34.0,22.6596
35.0,22.7279
36.0,22.8178
37.0,22.868
38.0,22.8967
39.0,23.0396
40.0,23.1327
41.0,23.2281
42.0,23.3235
43.0,23.3998
44.0,23.5752
45.0,23.6336
46.0,23.794
47.0,23.8463
48.0,23.9695
49.0,24.08
50.0,24.202
51.0,24.2788
52.0,24.3632
53.0,24.547
54.0,24.5973
55.0,24.6806
56.0,24.7628
57.0,24.8983
58.0,25.0718
59.0,25.1277
60.0,25.2053
61.0,25.2958
62.0,25.4501
63.0,25.4816
64.0,25.5983
65.0,25.6519
66.0,25.7667
67.0,25.8968
68.0,25.9962
69.0,26.0564
70.0,26.2041
71.0,26.296
72.0,26.3592
73.0,26.4899
74.0,26.536
75.0,26.6505
76.0,26.7889
77.0,26.853
78.0,26.9606
79.0,27.0113
80.0,27.156
81.0,27.2408
82.0,27.3117
83.0,27.3278
84.0,27.5098
85.0,27.5841
86.0,27.6427
87.0,27.7535
88.0,27.8346
89.0,27.8983
90.0,28.0077
91.0,28.0876
92.0,28.1596
93.0,28.2239
94.0,28.3829
95.0,28.4453
96.0,28.4999
97.0,28.5703
98.0,28.6581
99.0,28.7562
100.0,28.7703
101.0,28.9034
102.0,28.994
103.0,29.1195
104.0,29.1543
105.0,29.2311
106.0,29.3592
107.0,29.3564
108.0,29.4906
109.0,29.5868
110.0,29.6392
111.0,29.7026
112.0,29.7883
113.0,29.8739
114.0,29.8968
115.0,29.9653
116.0,30.0328
117.0,30.1357
118.0,30.2259
119.0,30.2752
120.0,30.352
121.0,30.4065
122.0,30.4851
123.0,30.5079
124.0,30.6295
125.0,30.7241
126.0,30.7964
127.0,30.7588
128.0,30.8476
129.0,30.9024
130.0,31.0394
131.0,31.0595
132.0,31.1222
133.0,31.1991
134.0,31.2476
135.0,31.3195
136.0,31.3815
137.0,31.4177
138.0,31.5118
139.0,31.5656
140.0,31.6542
141.0,31.7244
142.0,31.7761
143.0,31.8005
144.0,31.8681
145.0,31.9018
146.0,32.0049
147.0,32.0329
148.0,32.0954
149.0,32.1777
150.0,32.2111
151.0,32.2978
152.0,32.2977
153.0,32.3277
154.0,32.4417
155.0,32.5375
156.0,32.5936
157.0,32.6406
158.0,32.6392
159.0,32.6921
160.0,32.7913
161.0,32.8083
162.0,32.8756
163.0,32.9659
164.0,32.9963
165.0,33.0796
166.0,33.1157
167.0,33.1701
168.0,33.269
169.0,33.3157
170.0,33.3495
171.0,33.3742
172.0,33.4708
173.0,33.4897
174.0,33.5585
175.0,33.6234
176.0,33.6722
177.0,33.7119
178.0,33.7523
179.0,33.8479
180.0,33.8414
181.0,33.8993
182.0,33.9562
183.0,34.028
184.0,34.0467
185.0,34.0889
186.0,34.1469
187.0,34.149
188.0,34.1854
189.0,34.1735
190.0,34.2167
191.0,34.3357
192.0,34.3201
193.0,34.3688
194.0,34.4529
195.0,34.4714
196.0,34.4952
197.0,34.5189
198.0,34.5448
199.0,34.6024
200.0,34.6011
201.0,34.6469
202.0,34.6203
203.0,34.6728
204.0,34.6938
205.0,34.7214
206.0,34.7132
207.0,34.7725
208.0,34.7746
209.0,34.8057
210.0,34.8593
211.0,34.8053
212.0,34.8192
213.0,34.8632
214.0,34.8792
215.0,34.9025
216.0,34.9046
217.0,34.887
218.0,34.8976
219.0,34.9619
220.0,34.9695
221.0,34.977
222.0,35.0066
223.0,35.0292
224.0,35.0816
225.0,35.1418
226.0,35.0931
227.0,35.0814
228.0,35.1297
229.0,35.0943
230.0,35.1672
231.0,35.1703
232.0,35.1917
233.0,35.1587
234.0,35.1642
235.0,35.2386
236.0,35.2323
237.0,35.2209
238.0,35.2143
239.0,35.205
240.0,35.2841
241.0,35.2497
242.0,35.2666
243.0,35.2205
244.0,35.2403
245.0,35.3093
246.0,35.287
247.0,35.2758
248.0,35.3243
249.0,35.3191
250.0,35.318
251.0,35.2757
252.0,35.2913
253.0,35.3285
254.0,35.3291
255.0,35.328
256.0,35.3191
257.0,35.3702
258.0,35.3346
259.0,35.3247
260.0,35.3627
261.0,35.4065
262.0,35.388
263.0,35.421
264.0,35.366
265.0,35.3833
266.0,35.4297
267.0,35.4012
268.0,35.4279
269.0,35.4305
270.0,35.4738
271.0,35.4266
272.0,35.4732
273.0,35.4446
274.0,35.4638
275.0,35.4372
276.0,35.5039
277.0,35.4753
278.0,35.4927
279.0,35.4669
280.0,35.5135
281.0,35.5198
282.0,35.536
283.0,35.4556
284.0,35.5503
285.0,35.5009
286.0,35.5464
287.0,35.4879
288.0,35.5311
289.0,35.5411
290.0,35.5675
291.0,35.5385
292.0,35.6099
293.0,35.5741
294.0,35.5508
295.0,35.6075
296.0,35.5733
297.0,35.6144
298.0,35.5836
299.0,35.6608
300.0,35.6272
301.0,35.6435
302.0,35.6651
303.0,35.6518
304.0,35.6829
305.0,35.6529
306.0,35.7348
307.0,35.743
308.0,35.6803
309.0,35.73
310.0,35.7338
311.0,35.7389
312.0,35.7593
313.0,35.7652
314.0,35.7522
315.0,35.7976
316.0,35.8355
317.0,35.7763
318.0,35.8604
319.0,35.8921
320.0,35.8565
321.0,35.9002
322.0,35.8817
323.0,35.8462
324.0,35.9046
325.0,35.9006
326.0,35.8698
327.0,35.8812
328.0,35.949
329.0,35.9504
330.0,35.9831
331.0,35.981
332.0,35.9445
333.0,36.0217
334.0,36.0461
335.0,36.0981
336.0,36.0594
337.0,36.0872
338.0,36.1039
339.0,36.1544
340.0,36.1707
341.0,36.1359
342.0,36.1802
343.0,36.2299
344.0,36.2389
345.0,36.1791
346.0,36.3006
347.0,36.2832
348.0,36.3572
349.0,36.3139
350.0,36.3826
351.0,36.3492
352.0,36.3886
353.0,36.4003
354.0,36.4562
355.0,36.397
356.0,36.511
357.0,36.493
358.0,36.489
359.0,36.4955
360.0,36.5621
361.0,36.5718
362.0,36.5957
363.0,36.5942
364.0,36.6044
365.0,36.564
366.0,36.5795
367.0,36.6109
368.0,36.6532
369.0,36.6724
370.0,36.6687
371.0,36.7032
372.0,36.7151
373.0,36.7218
374.0,36.7302
375.0,36.7443
376.0,36.7875
377.0,36.7491
378.0,36.7516
379.0,36.7288
380.0,36.764
381.0,36.7821
382.0,36.8054
383.0,36.781
384.0,36.8526
385.0,36.8202
386.0,36.8283
387.0,36.8022
388.0,36.8119
389.0,36.8425
390.0,36.8715
391.0,36.8199
392.0,36.9044
393.0,36.8863
394.0,36.9003
395.0,36.9385
396.0,36.9124
397.0,36.8872
398.0,36.9917
399.0,36.8908
400.0,36.8686
401.0,36.9268
402.0,36.9583
403.0,36.9381
404.0,36.9194
405.0,36.9474
406.0,36.9566
407.0,36.955
408.0,36.9303
409.0,36.9229
410.0,36.9247
411.0,36.9253
412.0,36.93
413.0,36.9908
414.0,36.9554
415.0,36.9364
416.0,36.95
417.0,36.8857
418.0,36.9614
419.0,36.9484
420.0,36.9584
421.0,36.9631
422.0,36.9634
423.0,36.9468
424.0,36.9808
425.0,36.9807
426.0,36.941
427.0,36.9252
428.0,36.9229
429.0,36.9359
430.0,36.9296
431.0,36.917
432.0,36.917
