Time(s), Pressure(PSI)
0,14.2833
1.0,14.3009
2.0,14.272
3.0,14.3077
4.0,14.2939
5.0,14.3098
6.0,14.3042
7.0,14.2861
8.0,14.2365
9.0,14.2655
10.0,14.3061
11.0,14.3185
12.0,14.2671
13.0,14.2931
14.0,14.2833
15.0,14.2987
16.0,14.3281
17.0,14.2723
18.0,14.2672
19.0,14.3148
20.0,14.2439
21.0,14.2929
22.0,14.2826
23.0,14.2935
24.0,14.3089
25.0,14.303
26.0,14.2559
27.0,14.2937
28.0,14.2796
29.0,14.2861
30.0,14.2754
31.0,14.2811
32.0,14.2574
33.0,14.3145
34.0,14.2533
35.0,14.2628
36.0,14.2513
37.0,14.2653
38.0,14.235
39.0,14.3021
40.0,14.3161
41.0,14.3235
42.0,14.3116
43.0,14.2721
44.0,14.2837
45.0,14.286
46.0,14.2444
47.0,14.2881
48.0,14.2805
49.0,14.2452
50.0,14.304
51.0,14.3149
52.0,14.2812
53.0,14.3003
54.0,14.278
55.0,14.316
56.0,14.2989
57.0,14.3259
58.0,14.2894
59.0,14.2492
60.0,14.2717
61.0,14.3194
62.0,14.2546
63.0,14.3308
64.0,14.2778
65.0,14.2911
66.0,14.2892
67.0,14.2652
68.0,14.2881
69.0,14.253
70.0,14.2519
71.0,14.3053
72.0,14.2627
73.0,14.2629
74.0,14.2639
75.0,14.3076
76.0,14.3188
77.0,14.2945
78.0,14.3109
79.0,14.301
80.0,14.289
81.0,14.2905
82.0,14.2997
83.0,14.2946
84.0,14.2893
85.0,14.2959
86.0,14.3142
87.0,14.2935
88.0,14.2599
89.0,14.2996
90.0,14.3277
91.0,14.2585
92.0,14.2838
93.0,14.255
94.0,14.3098
95.0,14.2645
96.0,14.2693
97.0,14.3172
98.0,14.2733
99.0,14.2745
100.0,14.2696
101.0,14.2579
102.0,14.2701
103.0,14.2898
104.0,14.2536
105.0,14.251
106.0,14.2776
107.0,14.2746
108.0,14.3251
109.0,14.2772
110.0,14.2895
111.0,14.2945
112.0,14.2961
113.0,14.2898
114.0,14.2914
115.0,14.2819
116.0,14.2748
117.0,14.3085
118.0,14.3216
119.0,14.3347
120.0,14.2697
121.0,14.2813
122.0,14.2363
123.0,14.2622
124.0,14.2633
125.0,14.2937
126.0,14.312
127.0,14.2866
128.0,14.2534
129.0,14.274
130.0,14.2993
131.0,14.2997
132.0,14.2921
133.0,14.2798
134.0,14.2923
135.0,14.2955
136.0,14.2948
137.0,14.2859
138.0,14.277
139.0,14.3318
140.0,14.3149
141.0,14.3137
142.0,14.2523
143.0,14.2705
144.0,14.2884
145.0,14.2776
146.0,14.2967
147.0,14.2799
148.0,14.3003
149.0,14.2557
150.0,14.2625
151.0,14.2936
152.0,14.2618
153.0,14.2806
154.0,14.2839
155.0,14.3077
156.0,14.2976
157.0,14.2166
158.0,14.2833
159.0,14.2421
160.0,14.253
161.0,14.2999
162.0,14.2687
163.0,14.2924
164.0,14.276
165.0,14.2665
166.0,14.2622
167.0,14.2968
168.0,14.2628
169.0,14.314
170.0,14.2889
171.0,14.2874
172.0,14.2589
173.0,14.2604
174.0,14.289
175.0,14.2983
176.0,14.3143
177.0,14.3001
178.0,14.2574
179.0,14.2909
180.0,14.3131
181.0,14.2736
182.0,14.2621
183.0,14.2928
184.0,14.2836
185.0,14.2759
186.0,14.2876
187.0,14.2756
188.0,14.2914
189.0,14.2523
190.0,14.248
191.0,14.2926
192.0,14.2758
193.0,14.2606
194.0,14.2571
195.0,14.2716
196.0,14.2845
197.0,14.2711
198.0,14.2847
199.0,14.3161
200.0,14.2792
201.0,14.2467
202.0,14.2956
203.0,14.2929
204.0,14.2674
205.0,14.2782
206.0,14.2564
207.0,14.2826
208.0,14.2825
209.0,14.2879
210.0,14.2539
211.0,14.295
212.0,14.295
213.0,14.259
214.0,14.277
215.0,14.3138
216.0,14.2603
217.0,14.2972
218.0,14.227
219.0,14.2942
220.0,14.298
