Time(s), Pressure(PSI)
0,17.8583
1.0,17.6503
2.0,17.0315
3.0,16.64
4.0,16.4391
5.0,16.3659
6.0,16.357
7.0,16.3544
8.0,16.3332
9.0,16.3747
10.0,16.3827
11.0,16.3425
12.0,16.3336
13.0,16.3614
14.0,16.3194
15.0,16.3322
16.0,16.3219
17.0,16.308
18.0,16.3334
19.0,16.3661
20.0,16.2893
21.0,16.3564
22.0,16.3109
23.0,16.3486
24.0,16.3472
25.0,16.3231
26.0,16.3678
27.0,16.3781
28.0,16.3606
29.0,16.3379
30.0,16.3383
31.0,16.2852
32.0,16.3492
33.0,16.3258
34.0,16.3188
35.0,16.3543
36.0,16.3503
37.0,16.3559
38.0,16.289
39.0,16.3538
40.0,16.3268
41.0,16.3462
42.0,16.3666
43.0,16.3637
44.0,16.377
45.0,16.3219
46.0,16.3394
47.0,16.3339
48.0,16.3118
49.0,16.336
50.0,16.3537
51.0,16.3164
52.0,16.3539
53.0,16.3402
54.0,16.3126
55.0,16.3328
56.0,16.3216
57.0,16.2743
58.0,16.3988
59.0,16.3024
60.0,16.3126
61.0,16.3205
62.0,16.3279
63.0,16.3504
64.0,16.3231
65.0,16.3382
66.0,16.3278
67.0,16.3539
68.0,16.3082
69.0,16.3126
70.0,16.2699
71.0,16.3388
72.0,16.2978
73.0,16.3342
74.0,16.3759
75.0,16.3177
76.0,16.293
77.0,16.3274
78.0,16.3096
79.0,16.3172
80.0,16.3224
81.0,16.3018
82.0,16.3294
83.0,16.3124
84.0,16.3503
85.0,16.3044
86.0,16.3661
87.0,16.3034
88.0,16.3106
89.0,16.3143
90.0,16.293
91.0,16.3104
92.0,16.3335
93.0,16.3405
94.0,16.3793
95.0,16.3808
96.0,16.3335
97.0,16.3703
98.0,16.3484
99.0,16.3541
100.0,16.3993
101.0,16.411
102.0,16.3771
103.0,16.3916
104.0,16.4177
105.0,16.3974
106.0,16.4406
107.0,16.4298
108.0,16.458
109.0,16.4659
110.0,16.4533
111.0,16.4377
112.0,16.4531
113.0,16.5051
114.0,16.5302
115.0,16.5663
116.0,16.5557
117.0,16.5072
118.0,16.5603
119.0,16.5126
120.0,16.5612
121.0,16.5298
122.0,16.6052
123.0,16.6092
124.0,16.6121
125.0,16.6344
126.0,16.6195
127.0,16.6003
128.0,16.6136
129.0,16.674
130.0,16.6437
131.0,16.6214
132.0,16.6291
133.0,16.6953
134.0,16.6905
135.0,16.7089
136.0,16.6829
137.0,16.6823
138.0,16.6577
139.0,16.6847
140.0,16.7541
141.0,16.7381
142.0,16.7724
143.0,16.7477
144.0,16.7611
145.0,16.7676
146.0,16.7823
147.0,16.742
148.0,16.7803
149.0,16.8241
150.0,16.7747
151.0,16.8044
152.0,16.8053
153.0,16.8203
154.0,16.869
155.0,16.8238
156.0,16.8429
157.0,16.8418
158.0,16.8315
159.0,16.8149
160.0,16.853
161.0,16.8431
162.0,16.8625
163.0,16.9108
164.0,16.8878
165.0,16.9047
166.0,16.8908
167.0,16.9434
168.0,16.9374
169.0,16.9575
170.0,16.9567
171.0,16.991
172.0,17.0195
173.0,17.0113
174.0,17.0323
175.0,17.0054
176.0,17.0023
