Time(s), Pressure(PSI)
0,13.8852
1.0,13.8587
2.0,13.9296
3.0,13.9009
4.0,13.8793
5.0,13.8833
6.0,13.9392
7.0,13.9226
8.0,13.8794
9.0,13.8455
10.0,13.8426
11.0,13.8969
12.0,13.9319
13.0,13.8858
14.0,13.8712
15.0,13.8997
16.0,13.8977
17.0,13.9416
18.0,13.9276
19.0,13.9196
20.0,13.9268
21.0,13.899
22.0,13.998
23.0,14.1273
24.0,14.2624
25.0,14.434
26.0,14.4699
27.0,14.5225
28.0,14.5972
29.0,14.6843
30.0,14.7438
31.0,14.8361
32.0,14.9035
33.0,15.0152
34.0,15.1498
35.0,15.2807
36.0,15.3884
37.0,15.4466
38.0,15.6504
39.0,15.7361
40.0,15.9341
41.0,16.0532
42.0,16.2719
43.0,16.4377
44.0,16.648
45.0,16.8415
46.0,17.0971
47.0,17.3515
48.0,17.5587
49.0,17.7344
50.0,17.8984
51.0,18.0427
52.0,18.2699
53.0,18.438
54.0,18.7246
55.0,19.0223
56.0,19.3862
57.0,19.955
58.0,20.6949
59.0,21.5164
60.0,22.4436
61.0,23.3194
62.0,24.4091
63.0,25.5262
64.0,26.7061
65.0,28.0249
66.0,29.48
67.0,31.0292
68.0,32.759
69.0,34.6011
70.0,36.6296
71.0,38.7624
72.0,41.0411
73.0,43.3703
74.0,45.6124
75.0,47.8284
76.0,49.8509
77.0,51.7707
78.0,53.4982
79.0,55.0404
80.0,56.4704
81.0,57.7707
82.0,59.049
83.0,60.289
84.0,61.6454
85.0,63.0169
86.0,64.6247
87.0,66.2169
88.0,67.7356
89.0,69.1031
90.0,70.6455
91.0,72.2108
92.0,73.6518
93.0,75.0603
94.0,76.2219
95.0,77.0426
96.0,77.8406
97.0,78.4686
98.0,79.0653
99.0,79.5161
100.0,79.9313
101.0,80.3482
102.0,80.5576
103.0,80.8001
104.0,80.8011
105.0,80.7064
106.0,80.6844
107.0,80.6165
108.0,80.5597
109.0,80.5243
110.0,79.8751
111.0,78.8648
112.0,78.5078
113.0,78.1098
114.0,77.9254
115.0,78.0571
116.0,78.311
117.0,78.6256
118.0,78.933
119.0,79.5878
120.0,80.5854
121.0,81.7993
122.0,83.0597
123.0,83.8287
124.0,84.3851
125.0,84.9688
126.0,85.4124
127.0,85.9084
128.0,86.3114
129.0,86.6993
130.0,87.0544
131.0,87.2423
132.0,87.3279
133.0,87.562
134.0,87.8135
135.0,88.0106
136.0,88.2327
137.0,88.4331
138.0,88.6542
139.0,88.9019
140.0,89.0853
141.0,89.374
142.0,89.7414
143.0,89.9284
144.0,89.8906
145.0,89.9581
146.0,89.8791
147.0,89.7144
148.0,89.6142
149.0,89.4938
150.0,89.1076
151.0,88.8896
152.0,88.7544
153.0,88.6619
154.0,88.639
155.0,88.6602
156.0,88.836
157.0,89.0719
158.0,89.4266
159.0,89.6384
160.0,89.812
161.0,90.017
162.0,90.0937
163.0,90.4228
164.0,91.2283
165.0,92.6449
166.0,94.2625
167.0,95.6579
168.0,97.3005
169.0,98.652
170.0,99.7542
171.0,100.7887
172.0,101.5873
173.0,102.3206
174.0,103.3775
175.0,104.4085
176.0,104.9678
177.0,105.9471
178.0,106.6969
179.0,107.445
180.0,107.9508
181.0,108.36
182.0,107.9181
183.0,96.6001
184.0,87.4412
185.0,80.67
186.0,75.2645
187.0,70.6407
188.0,66.859
189.0,63.5311
190.0,61.4844
191.0,65.6568
192.0,72.7433
193.0,77.2507
194.0,81.4066
195.0,94.0792
196.0,108.8493
197.0,122.5314
198.0,134.5166
199.0,132.7036
200.0,106.4964
201.0,91.8787
202.0,81.5416
203.0,73.9369
204.0,68.1808
205.0,63.5824
206.0,59.8609
207.0,56.829
208.0,54.0894
209.0,51.7819
210.0,49.7845
211.0,48.2214
212.0,46.9165
213.0,48.0009
214.0,49.1998
215.0,51.5968
216.0,55.3942
217.0,59.9048
218.0,65.5774
219.0,72.4731
220.0,80.3796
221.0,89.1891
222.0,98.6329
223.0,108.3065
224.0,117.2978
225.0,124.7708
226.0,130.4685
227.0,134.5333
228.0,112.8126
229.0,95.0684
230.0,84.006
231.0,76.1247
232.0,70.0725
233.0,66.3606
234.0,69.554
235.0,74.2176
236.0,80.6459
237.0,86.6654
238.0,89.351
239.0,92.4853
240.0,96.2936
241.0,100.3906
242.0,104.9668
243.0,109.5975
244.0,114.134
245.0,118.5706
246.0,122.662
247.0,126.252
248.0,129.295
249.0,131.3813
250.0,106.8934
251.0,90.906
252.0,80.7729
253.0,72.6703
254.0,66.9027
255.0,63.9704
256.0,66.4178
257.0,67.6608
258.0,69.319
259.0,71.2485
260.0,73.4299
261.0,75.7473
262.0,78.3028
263.0,80.9222
264.0,83.5974
265.0,86.5212
266.0,89.6057
267.0,92.839
268.0,96.24
269.0,99.6695
270.0,103.1797
271.0,106.4967
272.0,109.8349
273.0,112.8525
274.0,115.7158
275.0,118.4158
276.0,120.915
277.0,123.1597
278.0,125.2052
279.0,127.0341
280.0,128.705
281.0,129.7588
282.0,105.1628
283.0,89.9556
284.0,79.3896
285.0,71.775
286.0,65.8666
287.0,61.306
288.0,62.8831
289.0,63.5065
290.0,64.3685
291.0,65.5379
292.0,66.9294
293.0,68.527
294.0,70.3072
295.0,72.2622
296.0,74.463
297.0,76.8473
298.0,79.3977
299.0,81.9208
300.0,84.5739
301.0,87.3511
302.0,90.2707
303.0,93.2359
304.0,96.2989
305.0,99.3453
306.0,102.2841
307.0,105.2874
308.0,108.0112
309.0,110.7615
310.0,113.4253
311.0,116.036
312.0,118.5017
313.0,121.0224
314.0,123.3875
315.0,125.8418
316.0,119.6332
317.0,99.4482
318.0,86.6127
319.0,77.1996
320.0,70.2852
321.0,64.8573
322.0,60.781
323.0,62.6821
324.0,63.3265
325.0,64.2977
326.0,65.5788
327.0,67.0467
328.0,68.8252
329.0,70.8721
330.0,73.1515
331.0,75.64
332.0,78.3489
333.0,81.2263
334.0,84.4066
335.0,87.8546
336.0,91.3807
337.0,95.1026
338.0,98.8974
339.0,102.9003
340.0,106.895
341.0,110.7919
342.0,114.5962
343.0,118.353
344.0,121.933
345.0,125.4476
346.0,118.3757
347.0,99.266
348.0,86.5057
349.0,77.3125
350.0,70.3593
351.0,64.9698
352.0,60.5396
353.0,58.8268
354.0,65.565
355.0,70.5764
356.0,71.9308
357.0,73.2357
358.0,74.7881
359.0,76.7229
360.0,78.7791
361.0,81.1678
362.0,83.7305
363.0,86.6173
364.0,89.6829
365.0,92.9533
366.0,96.4771
367.0,100.2037
368.0,104.0059
369.0,107.8743
370.0,111.9869
371.0,116.1104
372.0,120.187
373.0,124.2318
374.0,127.9738
375.0,118.678
376.0,99.3577
377.0,87.7154
378.0,78.9415
379.0,71.9792
380.0,66.709
381.0,62.2567
382.0,59.4731
383.0,62.7137
384.0,63.6458
385.0,65.53
386.0,68.203
387.0,69.8141
388.0,71.706
389.0,73.8784
390.0,76.1821
391.0,78.9272
392.0,81.8667
393.0,85.0376
394.0,88.6125
395.0,92.3087
396.0,96.2582
397.0,100.2844
398.0,104.4632
399.0,108.7666
400.0,112.9998
401.0,117.2824
402.0,121.3701
403.0,125.2715
404.0,128.9837
405.0,131.6313
406.0,111.2184
407.0,94.7034
