Time(s), Pressure(PSI)
0,14.6037
1.0,14.6377
2.0,14.632
3.0,14.67
4.0,14.6296
5.0,14.6211
6.0,14.5707
7.0,14.6127
8.0,14.6232
9.0,14.6102
10.0,14.6619
11.0,14.5648
12.0,14.6162
13.0,14.5969
14.0,14.5986
15.0,14.6535
16.0,14.631
17.0,14.6725
18.0,14.6029
19.0,14.6509
20.0,14.5905
21.0,14.6678
22.0,14.6573
23.0,14.6515
24.0,14.5869
25.0,14.6305
26.0,14.6766
27.0,14.6077
28.0,14.6199
29.0,14.6093
30.0,14.6591
31.0,14.6409
32.0,14.6326
33.0,14.6446
34.0,14.6411
35.0,14.6289
36.0,14.6106
37.0,14.6427
38.0,14.652
39.0,14.624
40.0,14.6441
41.0,14.6378
42.0,14.6456
43.0,14.6135
44.0,14.6654
45.0,14.6075
46.0,14.6356
47.0,14.6079
48.0,14.6297
49.0,14.6834
50.0,14.6289
51.0,14.6142
52.0,14.6245
53.0,14.6625
54.0,14.6416
55.0,14.6191
56.0,14.6494
57.0,14.6641
58.0,14.6365
59.0,14.6268
60.0,14.6529
61.0,14.6395
62.0,14.6592
63.0,14.6168
64.0,14.6366
65.0,14.5968
66.0,14.6161
67.0,14.6445
68.0,14.6053
69.0,14.6761
70.0,14.5922
71.0,14.6385
72.0,14.6083
73.0,14.6032
74.0,14.5954
75.0,14.6131
76.0,14.6668
77.0,14.5737
78.0,14.6383
79.0,14.6147
80.0,14.6516
81.0,14.622
82.0,14.6447
83.0,14.6049
84.0,14.5967
85.0,14.6241
86.0,14.5986
87.0,14.6373
88.0,14.6189
89.0,14.6071
90.0,14.631
91.0,14.6511
92.0,14.6806
93.0,14.5929
94.0,14.6236
95.0,14.6151
96.0,14.6292
97.0,14.6576
98.0,14.653
99.0,14.6304
100.0,14.6265
101.0,14.6206
102.0,14.6081
103.0,14.64
104.0,14.6221
105.0,14.5998
106.0,14.6117
107.0,14.598
108.0,14.5853
109.0,14.6361
110.0,14.6345
111.0,14.6247
112.0,14.6777
113.0,14.6422
114.0,14.5996
115.0,14.6364
116.0,14.6005
117.0,14.5911
118.0,14.6069
119.0,14.6349
120.0,14.5847
121.0,14.6333
122.0,14.6285
123.0,14.6054
124.0,14.5789
125.0,14.6026
126.0,14.6078
127.0,14.6157
128.0,14.6149
129.0,14.6519
130.0,14.6326
131.0,14.5548
132.0,14.6115
133.0,14.5961
134.0,14.6194
135.0,14.6154
136.0,14.5987
137.0,14.6495
138.0,14.571
139.0,14.593
140.0,14.5973
141.0,14.5945
142.0,14.6327
143.0,14.6286
144.0,14.6292
145.0,14.6083
146.0,14.6014
147.0,14.5733
148.0,14.5483
149.0,14.5359
150.0,14.5221
151.0,14.5037
152.0,14.5507
153.0,14.529
154.0,14.5207
155.0,14.5277
156.0,14.4691
157.0,14.5101
158.0,14.4902
159.0,14.4929
160.0,14.5206
161.0,14.5111
162.0,14.5304
163.0,14.4553
164.0,14.5233
165.0,14.498
166.0,14.5338
167.0,14.4794
168.0,14.5128
169.0,14.4961
170.0,14.4923
171.0,14.4971
172.0,14.4938
173.0,14.5303
174.0,14.4842
175.0,14.4882
176.0,14.4958
177.0,14.5074
178.0,14.5215
179.0,14.5268
180.0,14.5395
181.0,14.5021
182.0,14.5158
183.0,14.511
184.0,14.4959
185.0,14.5073
186.0,14.5052
187.0,14.5132
188.0,14.4772
189.0,14.512
190.0,14.5132
191.0,14.4865
192.0,14.523
193.0,14.48
194.0,14.4913
195.0,14.4683
196.0,14.5362
197.0,14.4876
198.0,14.4986
199.0,14.5214
200.0,14.5436
201.0,14.49
