Time(s), Pressure(PSI)
0,57.2586
1.0,57.2499
2.0,57.2571
3.0,57.2556
4.0,57.3301
5.0,57.2964
6.0,57.3216
7.0,57.3813
8.0,57.3936
9.0,57.4041
10.0,57.4025
11.0,57.43
12.0,57.4127
13.0,57.4791
14.0,57.4369
15.0,57.4469
16.0,57.4434
17.0,57.4495
18.0,57.4492
19.0,57.4629
20.0,57.3984
21.0,57.3416
22.0,57.2967
23.0,57.3441
24.0,57.2898
25.0,57.352
26.0,57.2798
27.0,57.3077
28.0,57.3351
29.0,57.3321
30.0,57.2957
31.0,57.6296
32.0,57.617
33.0,57.6185
34.0,57.6445
35.0,57.6358
36.0,57.6161
37.0,57.6959
38.0,57.6462
39.0,57.6632
40.0,57.7393
41.0,57.7734
42.0,57.7181
43.0,57.8192
44.0,57.7817
45.0,57.7418
46.0,57.7916
47.0,57.7903
48.0,57.8091
49.0,57.7974
50.0,57.7453
51.0,57.7106
52.0,57.7427
53.0,57.6747
54.0,57.6734
55.0,57.651
56.0,57.6547
57.0,57.64
58.0,57.6184
59.0,57.6094
60.0,57.5922
61.0,57.5982
62.0,56.9916
63.0,55.5056
64.0,54.1827
65.0,52.9446
66.0,51.7874
67.0,50.71
68.0,49.7278
69.0,48.7783
70.0,47.8833
71.0,47.0638
72.0,46.2885
73.0,45.5696
74.0,44.8535
75.0,44.2151
76.0,43.6589
77.0,43.0186
78.0,42.4368
79.0,41.979
80.0,41.5009
81.0,40.9505
82.0,40.5013
83.0,40.0632
84.0,39.6664
85.0,39.3055
86.0,38.8835
87.0,38.5017
88.0,38.1167
89.0,37.8132
90.0,37.4599
91.0,37.1375
92.0,36.8782
93.0,36.512
94.0,36.2894
95.0,35.9878
96.0,35.6825
97.0,35.4405
98.0,35.1979
99.0,34.9332
100.0,34.7329
101.0,34.4403
102.0,34.2548
103.0,34.0234
104.0,33.7798
105.0,33.5746
106.0,33.3543
107.0,33.203
108.0,32.957
109.0,32.7593
110.0,32.5958
111.0,32.3749
112.0,32.2398
113.0,32.1001
114.0,31.9043
115.0,31.8088
116.0,31.673
117.0,31.518
118.0,31.4297
119.0,31.2665
120.0,31.1132
121.0,31.0076
122.0,30.9001
123.0,30.7907
124.0,30.6512
125.0,30.5629
126.0,30.399
127.0,30.3559
128.0,30.2386
129.0,30.114
130.0,30.011
131.0,29.9012
132.0,29.771
133.0,29.6971
134.0,29.6024
135.0,29.4857
136.0,29.3657
137.0,29.3242
138.0,29.1531
139.0,29.101
140.0,29.0103
141.0,28.9133
142.0,28.8661
143.0,28.7503
144.0,28.6293
145.0,28.5479
146.0,28.4437
147.0,28.3588
148.0,28.2969
149.0,28.2326
150.0,28.1242
151.0,28.1122
152.0,27.984
153.0,27.9054
154.0,27.8106
155.0,27.7714
156.0,27.6821
157.0,27.6305
158.0,27.5972
159.0,27.4503
160.0,27.3771
161.0,27.3353
162.0,27.2401
163.0,27.1304
164.0,27.1439
165.0,27.0308
166.0,27.0013
167.0,26.9406
168.0,26.9057
169.0,26.845
170.0,26.7881
171.0,26.6925
172.0,26.6289
173.0,26.6267
174.0,26.5136
175.0,26.4772
176.0,26.4114
177.0,26.3288
178.0,26.2786
179.0,26.2463
180.0,26.1433
181.0,26.1019
182.0,26.011
183.0,26.0056
184.0,25.9159
185.0,25.901
186.0,25.8089
187.0,25.7623
188.0,25.7136
189.0,25.6737
190.0,25.6051
191.0,25.5682
192.0,25.4807
193.0,25.4295
194.0,25.3894
195.0,25.3215
196.0,25.2831
197.0,25.2937
198.0,25.1251
199.0,25.1127
200.0,25.1468
201.0,25.1924
202.0,25.3578
203.0,25.5963
204.0,25.8581
205.0,26.2321
206.0,26.5048
207.0,26.884
208.0,27.1506
209.0,27.4948
210.0,27.8286
211.0,28.2588
212.0,28.7032
213.0,29.1406
214.0,29.5881
215.0,30.0664
216.0,30.4864
217.0,30.9648
218.0,31.4744
219.0,31.907
220.0,32.4285
221.0,33.0178
222.0,33.5025
223.0,33.9423
224.0,34.466
225.0,34.9615
226.0,35.489
227.0,35.9714
228.0,36.4953
229.0,37.0423
230.0,37.5376
231.0,38.0947
232.0,38.6222
233.0,39.167
234.0,39.6915
235.0,40.2556
236.0,40.8841
237.0,41.3986
238.0,41.9341
239.0,42.5742
240.0,43.0109
241.0,43.6054
242.0,44.2152
243.0,44.7129
244.0,45.3087
245.0,46.2066
246.0,47.096
247.0,48.0782
248.0,49.0743
249.0,49.9924
250.0,51.0053
251.0,52.0171
252.0,53.0076
253.0,54.077
254.0,55.0266
255.0,55.9431
256.0,56.8442
257.0,57.6558
258.0,58.1289
259.0,58.1986
260.0,58.1691
261.0,58.1792
262.0,58.1671
263.0,58.2619
264.0,58.2184
265.0,57.6306
266.0,56.1414
