Time(s), Pressure(PSI)
0,15.9284
1.0,15.9753
2.0,15.8848
3.0,15.938
4.0,15.9535
5.0,15.9302
6.0,15.9304
7.0,15.9095
8.0,15.9159
9.0,15.9509
10.0,15.9592
11.0,15.9332
12.0,15.8983
13.0,15.9164
14.0,15.9156
15.0,15.945
16.0,15.9341
17.0,15.9262
18.0,15.9177
19.0,15.9337
20.0,15.9049
21.0,15.9421
22.0,15.9127
23.0,15.9505
24.0,15.9603
25.0,15.9218
26.0,15.9645
27.0,15.9058
28.0,15.8949
29.0,15.9468
30.0,15.9611
31.0,15.9364
32.0,15.9371
33.0,15.8952
34.0,15.9281
35.0,15.918
36.0,15.9286
37.0,15.9256
38.0,15.9442
39.0,15.926
40.0,15.9143
41.0,15.9449
42.0,15.9283
43.0,15.9413
44.0,15.95
45.0,15.9372
46.0,15.878
47.0,15.876
48.0,15.8937
49.0,15.9277
50.0,15.8881
51.0,15.8759
52.0,15.8974
53.0,15.856
54.0,15.906
55.0,15.9309
56.0,15.8884
57.0,15.8689
58.0,15.8896
59.0,15.9318
60.0,15.9112
61.0,15.6806
62.0,15.6547
63.0,15.5987
64.0,15.5125
65.0,15.3469
66.0,15.1724
67.0,15.0732
68.0,14.9128
69.0,14.7848
70.0,14.7426
71.0,14.6066
72.0,14.5388
73.0,14.4248
74.0,14.3664
75.0,14.3578
76.0,14.254
77.0,14.2573
78.0,14.1856
79.0,14.1083
80.0,14.1167
81.0,14.1082
82.0,14.0617
83.0,14.0435
84.0,14.0198
85.0,14.0147
86.0,13.9698
87.0,13.9558
88.0,13.9318
89.0,13.8999
90.0,13.9156
91.0,13.8954
92.0,13.8835
93.0,13.8996
94.0,13.813
95.0,13.8642
96.0,13.812
97.0,13.8452
98.0,13.8296
99.0,13.7823
100.0,13.8242
101.0,13.7818
102.0,13.7774
103.0,13.8049
104.0,13.7456
105.0,13.7936
106.0,13.7821
107.0,13.785
108.0,13.772
109.0,13.7893
110.0,13.7692
111.0,13.7801
112.0,13.7513
113.0,13.794
114.0,13.8245
115.0,13.799
