Time(s), Pressure(PSI)
0,14.4357
1.0,14.4538
2.0,14.4207
3.0,14.4528
4.0,14.4814
5.0,14.4737
6.0,14.4133
7.0,14.4025
8.0,14.4082
9.0,14.415
10.0,14.4481
11.0,14.407
12.0,14.4823
13.0,14.4097
14.0,14.4179
15.0,14.4227
16.0,14.4411
17.0,14.4089
18.0,14.4033
19.0,14.4388
20.0,14.478
21.0,14.433
22.0,14.4274
23.0,14.4175
24.0,14.4683
25.0,14.4198
26.0,14.4703
27.0,14.4436
28.0,14.4281
29.0,14.4371
30.0,14.4429
31.0,14.4429
32.0,14.4765
33.0,14.4675
34.0,14.4345
35.0,14.4447
36.0,14.4293
37.0,14.4196
38.0,14.4902
39.0,14.4833
40.0,14.4267
41.0,14.4389
42.0,14.3907
43.0,14.4424
44.0,14.4045
45.0,14.4025
46.0,14.4323
47.0,14.4633
48.0,14.4681
49.0,14.443
50.0,14.4389
51.0,14.4597
52.0,14.4335
53.0,14.4674
54.0,14.4601
55.0,14.4396
56.0,14.4335
57.0,14.4328
58.0,14.442
59.0,14.4547
60.0,14.435
61.0,14.394
62.0,14.4394
63.0,14.4362
64.0,14.4031
65.0,14.4385
66.0,14.4191
67.0,14.4548
68.0,14.3904
69.0,14.4343
70.0,14.4594
71.0,14.4439
72.0,14.4494
73.0,14.4747
74.0,14.4473
75.0,14.4457
76.0,14.4261
77.0,14.4806
78.0,14.4251
79.0,14.4358
80.0,14.4289
81.0,14.468
82.0,14.4505
83.0,14.3799
84.0,14.4547
85.0,14.4226
86.0,14.4379
87.0,14.445
88.0,14.4366
89.0,14.4053
90.0,14.4193
91.0,14.4704
92.0,14.4874
93.0,14.4301
94.0,14.441
95.0,14.4008
96.0,14.4545
97.0,14.4601
98.0,14.4258
99.0,14.472
100.0,14.4477
101.0,14.4645
102.0,14.4414
103.0,14.4747
104.0,14.4346
105.0,14.4413
106.0,14.4518
107.0,14.4327
108.0,14.4547
109.0,14.4572
110.0,14.4699
111.0,14.4355
112.0,14.4613
113.0,14.459
114.0,14.4385
115.0,14.4753
116.0,14.4519
117.0,14.4434
118.0,14.4485
119.0,14.4173
120.0,14.4345
121.0,14.4468
122.0,14.4478
123.0,14.4572
124.0,14.4574
125.0,14.4244
126.0,14.4608
127.0,14.4273
128.0,14.4933
129.0,14.4601
130.0,14.4638
131.0,14.413
132.0,14.4466
133.0,14.4727
134.0,14.4375
135.0,14.4459
136.0,14.4774
137.0,14.4605
138.0,14.4532
139.0,14.4143
140.0,14.4786
141.0,14.4443
142.0,14.4275
143.0,14.4285
144.0,14.4765
145.0,14.4907
146.0,14.4911
147.0,14.4708
148.0,14.4567
149.0,14.4428
150.0,14.4713
151.0,14.4262
152.0,14.4814
153.0,14.4623
154.0,14.4585
155.0,14.4326
156.0,14.4193
157.0,14.4266
158.0,14.5369
159.0,14.4436
160.0,14.4346
161.0,14.4543
162.0,14.4429
163.0,14.4615
164.0,14.4768
165.0,14.4709
166.0,14.4568
167.0,14.4284
168.0,14.4576
169.0,14.4752
170.0,14.4544
171.0,14.4562
172.0,14.4567
173.0,14.4443
174.0,14.4672
175.0,14.4303
176.0,14.474
177.0,14.4548
178.0,14.4867
179.0,14.4212
180.0,14.4456
181.0,14.4829
182.0,14.3958
183.0,14.4335
184.0,14.4599
185.0,14.4456
186.0,14.453
187.0,14.453
188.0,14.432
189.0,14.4661
190.0,14.4647
191.0,14.4227
192.0,14.4487
193.0,14.4419
194.0,14.4532
195.0,14.4496
196.0,14.4512
197.0,14.4095
198.0,14.4613
199.0,14.4973
200.0,14.4502
201.0,14.4165
202.0,14.481
203.0,14.4536
204.0,14.448
205.0,14.4374
206.0,14.42
207.0,14.4588
208.0,14.4571
209.0,14.454
210.0,14.4535
211.0,14.4592
212.0,14.4568
213.0,14.4173
214.0,14.4448
215.0,14.467
216.0,14.3883
217.0,14.4664
218.0,14.4578
219.0,14.4614
220.0,14.4317
221.0,14.4372
222.0,14.4632
