Time(s), Pressure(PSI)
0,34.8936
1.0,35.073
2.0,35.282
3.0,35.4303
4.0,35.5823
5.0,35.8642
6.0,35.9547
7.0,36.1482
8.0,36.2083
9.0,36.359
10.0,36.5201
11.0,36.6189
12.0,36.695
13.0,36.7699
14.0,36.8259
15.0,36.9036
16.0,36.9576
17.0,36.9735
18.0,37.0037
19.0,37.0249
20.0,37.0614
21.0,37.11
22.0,37.0697
23.0,37.1097
24.0,37.0603
25.0,37.104
26.0,37.0845
27.0,37.0556
28.0,37.0499
29.0,37.0952
30.0,37.0379
31.0,37.0583
32.0,37.1022
33.0,37.087
34.0,37.1109
35.0,37.0893
36.0,37.1168
37.0,37.1318
38.0,37.2183
39.0,37.2016
40.0,37.321
41.0,37.4207
42.0,37.5259
43.0,37.6053
44.0,37.7412
45.0,37.89
46.0,38.0157
47.0,38.1744
48.0,38.3159
49.0,38.4808
50.0,38.6532
51.0,38.7843
52.0,38.9849
53.0,39.2398
54.0,39.3592
55.0,39.6114
56.0,39.8745
57.0,40.0603
58.0,40.2754
59.0,40.5313
60.0,40.7765
61.0,41.0644
62.0,41.322
63.0,41.5689
64.0,41.8241
65.0,42.0953
66.0,42.3631
67.0,42.7065
68.0,42.998
69.0,43.2581
70.0,43.603
71.0,43.9399
72.0,44.2699
73.0,44.561
74.0,44.9519
75.0,45.2917
76.0,45.6245
77.0,45.997
78.0,46.3194
79.0,46.7212
80.0,47.1145
81.0,47.4702
82.0,47.8459
83.0,48.2818
84.0,48.6334
85.0,49.0033
86.0,49.4469
87.0,49.9028
88.0,50.2612
89.0,50.7102
90.0,51.1184
91.0,51.501
92.0,51.9767
93.0,52.4217
94.0,52.8291
95.0,53.2932
96.0,53.7107
97.0,54.1562
98.0,54.6165
99.0,55.1029
100.0,55.4964
101.0,55.9523
102.0,56.4066
103.0,56.8533
104.0,57.3781
105.0,57.8559
106.0,58.2758
107.0,58.7776
108.0,59.2554
109.0,59.7088
110.0,60.1751
111.0,60.7474
112.0,61.1986
113.0,61.7669
114.0,62.3338
115.0,62.8084
116.0,63.3599
117.0,63.7488
118.0,64.0394
119.0,64.3146
120.0,64.5807
121.0,64.7633
122.0,64.9737
123.0,65.1853
124.0,65.3667
125.0,65.5592
126.0,65.8275
127.0,66.0141
128.0,66.1858
129.0,66.4169
130.0,66.6375
131.0,66.9164
132.0,67.1404
133.0,67.3856
134.0,67.6213
135.0,67.9136
136.0,68.1383
137.0,68.3946
138.0,68.7041
139.0,68.9966
140.0,69.3286
141.0,69.6483
142.0,69.9842
143.0,70.3294
144.0,70.6566
145.0,71.0056
146.0,71.396
147.0,71.7869
148.0,72.2131
149.0,72.5568
150.0,73.0288
151.0,73.4654
152.0,73.8527
153.0,74.3435
154.0,74.7688
155.0,75.1475
156.0,75.5994
157.0,76.0652
158.0,76.418
159.0,76.8639
160.0,77.2488
161.0,77.6364
162.0,78.0408
163.0,78.5031
164.0,78.9396
165.0,79.4173
166.0,79.8668
167.0,80.3058
168.0,80.8084
169.0,81.2304
170.0,81.7499
171.0,82.2531
172.0,82.7199
173.0,83.2843
174.0,83.8646
175.0,84.3417
176.0,84.9397
177.0,85.4805
178.0,86.131
179.0,86.7135
180.0,87.3898
181.0,88.0069
182.0,88.5619
183.0,89.289
184.0,89.9859
185.0,90.6706
186.0,91.3468
187.0,92.123
188.0,92.8255
189.0,93.5558
190.0,94.2766
191.0,95.1007
192.0,95.8773
193.0,96.7477
194.0,97.4412
195.0,98.3573
196.0,99.1006
197.0,99.9521
198.0,100.8162
199.0,101.7251
200.0,102.657
201.0,103.6281
202.0,104.6267
203.0,105.587
204.0,106.5359
205.0,107.548
206.0,108.567
207.0,109.567
208.0,110.6852
209.0,111.7075
210.0,112.6947
211.0,113.7068
212.0,114.7087
213.0,115.811
214.0,116.9056
215.0,118.0175
216.0,119.1593
217.0,120.3962
218.0,121.5601
219.0,122.8137
220.0,124.0184
221.0,125.3676
222.0,126.6788
223.0,128.1216
224.0,129.5738
225.0,131.0091
226.0,132.5568
227.0,134.067
228.0,135.6499
229.0,137.233
230.0,138.9139
231.0,140.5939
232.0,141.7344
233.0,141.9483
234.0,141.8757
235.0,141.6842
236.0,141.0409
237.0,140.2005
238.0,139.369
239.0,138.6021
