Time(s), Pressure(PSI)
0,18.5705
1.0,18.5955
2.0,18.5638
3.0,18.6035
4.0,18.599
5.0,18.6098
6.0,18.6121
7.0,18.5721
8.0,18.5833
9.0,18.5807
10.0,18.582
11.0,18.6313
12.0,18.5888
13.0,18.6499
14.0,18.5709
15.0,18.6308
16.0,18.595
17.0,18.5874
18.0,18.6212
19.0,18.6145
20.0,18.5914
21.0,18.5969
22.0,18.5794
23.0,18.5879
24.0,18.5856
25.0,18.5887
26.0,18.5842
27.0,18.6181
28.0,18.5436
29.0,18.6332
30.0,18.6179
31.0,18.6234
32.0,18.5714
33.0,18.6037
34.0,18.6412
35.0,18.5649
36.0,18.6434
37.0,18.5914
38.0,18.6024
39.0,18.5981
40.0,18.5769
41.0,18.582
42.0,18.5793
43.0,18.6127
44.0,18.5129
45.0,18.5604
46.0,18.5655
47.0,18.5123
48.0,18.5629
49.0,18.5502
50.0,18.5392
51.0,18.5296
52.0,18.5601
53.0,18.553
54.0,18.5582
55.0,18.5054
56.0,18.5991
57.0,18.5821
58.0,18.5438
59.0,18.574
60.0,18.5171
61.0,18.5807
62.0,18.5516
63.0,18.6116
64.0,18.5779
65.0,18.5812
66.0,18.5409
67.0,18.548
68.0,18.5389
69.0,18.5756
70.0,18.5961
71.0,18.6051
72.0,18.6156
73.0,18.3975
74.0,16.8383
75.0,15.9872
76.0,15.6752
77.0,15.5376
78.0,15.4377
79.0,15.509
80.0,15.4382
81.0,15.4167
82.0,15.3861
83.0,15.4106
84.0,15.4458
85.0,15.4579
86.0,15.4299
87.0,15.4375
88.0,15.4827
89.0,15.4658
90.0,15.5137
91.0,15.4783
92.0,15.4142
93.0,15.5063
94.0,15.4617
95.0,15.4632
96.0,15.4614
97.0,15.4798
98.0,15.4388
99.0,15.4429
100.0,15.473
101.0,15.4387
102.0,15.5233
103.0,15.4837
104.0,15.4879
105.0,15.465
106.0,15.4527
107.0,15.4676
108.0,15.4358
109.0,15.4919
110.0,15.4716
111.0,15.4498
112.0,15.4421
113.0,15.4725
114.0,15.4606
115.0,15.4449
116.0,15.4706
117.0,15.4518
118.0,15.4692
119.0,15.4267
120.0,15.4983
121.0,15.4384
122.0,15.4733
123.0,15.5074
124.0,15.4576
125.0,15.4718
126.0,15.4675
127.0,15.499
128.0,15.4866
129.0,15.461
130.0,15.4664
131.0,15.4551
132.0,15.4615
133.0,15.4374
134.0,15.4726
135.0,15.4348
136.0,15.4946
137.0,15.4491
138.0,15.4818
139.0,15.4547
140.0,15.4606
141.0,15.4805
142.0,15.4494
143.0,15.507
144.0,15.469
145.0,15.4867
146.0,15.451
147.0,15.4484
148.0,15.4483
149.0,15.0959
150.0,15.0107
151.0,15.0358
152.0,15.0123
153.0,14.991
154.0,15.0448
155.0,14.9841
156.0,15.0146
157.0,14.9643
158.0,14.9752
159.0,15.0391
160.0,14.984
161.0,15.0507
162.0,14.9507
163.0,15.0169
164.0,14.9876
165.0,15.0016
166.0,15.0586
167.0,14.9953
168.0,15.0129
169.0,15.007
170.0,14.9988
171.0,15.0187
172.0,15.0035
173.0,15.0388
174.0,15.0252
175.0,15.0009
176.0,14.9998
177.0,15.0081
178.0,15.0253
179.0,15.0588
180.0,14.9987
181.0,15.0248
182.0,15.0448
183.0,14.9972
184.0,15.0057
185.0,14.9989
186.0,15.0458
187.0,14.9704
188.0,15.0313
