Time(s), Pressure(PSI)
0,15.6561
1.0,15.6076
2.0,15.5341
3.0,15.4981
4.0,15.4776
5.0,15.4719
6.0,15.4527
7.0,15.4097
8.0,15.3966
9.0,15.3964
10.0,15.4583
11.0,15.4773
12.0,15.5167
13.0,15.5655
14.0,15.5769
15.0,15.5692
16.0,15.5839
17.0,15.6014
18.0,15.6767
19.0,15.6674
20.0,15.6898
21.0,15.6904
22.0,15.6983
23.0,15.6528
24.0,15.6588
25.0,15.6989
26.0,15.6659
27.0,15.6969
28.0,15.6204
29.0,15.6711
30.0,15.7347
31.0,15.7269
32.0,15.6621
33.0,15.6945
34.0,15.6727
35.0,15.7241
36.0,15.7134
37.0,15.6387
38.0,15.727
39.0,15.7311
40.0,15.7175
41.0,15.7282
42.0,15.7063
43.0,15.726
44.0,15.6635
45.0,15.7567
46.0,15.7329
47.0,15.7216
48.0,15.7408
49.0,15.7987
50.0,15.7176
51.0,15.7134
52.0,15.7509
53.0,15.7254
54.0,15.7626
55.0,15.7537
56.0,15.771
57.0,15.7574
58.0,15.769
59.0,15.7625
60.0,15.7942
61.0,15.7795
62.0,15.7856
63.0,15.7466
64.0,15.7792
65.0,15.801
66.0,15.7675
67.0,15.7782
68.0,15.8008
69.0,15.7855
70.0,15.8209
71.0,15.7557
72.0,15.7714
73.0,15.7518
74.0,15.7601
75.0,15.7819
76.0,15.8023
77.0,15.7886
78.0,15.7577
79.0,15.8161
80.0,15.7665
81.0,15.8175
82.0,15.7799
83.0,15.83
84.0,15.8557
85.0,15.8364
86.0,15.8225
87.0,15.805
88.0,15.8314
89.0,15.8582
90.0,15.7965
91.0,15.8363
92.0,15.8137
93.0,15.8346
94.0,15.8456
95.0,15.8252
96.0,15.7921
97.0,15.8464
98.0,15.8425
99.0,15.8229
100.0,15.8745
101.0,15.8218
102.0,15.8334
103.0,15.8516
104.0,15.8088
105.0,15.8447
106.0,15.8635
107.0,15.8585
108.0,15.8228
109.0,15.8059
110.0,15.8286
111.0,15.8346
112.0,15.8199
113.0,15.7885
114.0,15.8079
115.0,15.8095
116.0,15.7802
117.0,15.8345
118.0,15.8055
119.0,15.8103
120.0,15.8022
121.0,15.8056
122.0,15.7967
123.0,15.7883
124.0,15.8394
125.0,15.8358
126.0,15.8354
127.0,15.8252
128.0,15.8129
129.0,15.8084
130.0,15.8242
131.0,15.8075
132.0,15.8571
133.0,15.8342
134.0,15.8196
135.0,15.8728
136.0,15.8368
137.0,15.8314
138.0,15.8228
139.0,15.8259
140.0,15.8044
141.0,15.7948
142.0,15.8074
143.0,15.8471
144.0,15.79
145.0,15.8155
146.0,15.8485
147.0,15.8595
148.0,15.8053
149.0,15.8652
150.0,15.7727
151.0,15.8499
152.0,15.8503
153.0,15.8135
154.0,15.8388
155.0,15.831
156.0,15.8467
157.0,15.8127
158.0,15.8111
159.0,15.8074
160.0,15.8495
161.0,15.8931
162.0,15.8284
163.0,15.8715
164.0,15.8494
165.0,15.8545
166.0,15.8745
167.0,15.828
168.0,15.8465
169.0,15.8665
170.0,15.8707
171.0,15.8625
172.0,15.8578
173.0,15.8447
174.0,15.8825
175.0,15.879
176.0,15.8809
177.0,15.8564
178.0,15.8697
179.0,15.8289
180.0,15.8123
181.0,15.8218
182.0,15.8649
183.0,15.8622
184.0,15.8181
185.0,15.8271
186.0,15.825
187.0,15.7974
