Time(s), Pressure(PSI)
0,14.244
1.0,14.2144
2.0,14.2132
3.0,14.2537
4.0,14.1967
5.0,14.2162
6.0,14.1991
7.0,14.2647
8.0,14.2035
9.0,14.2121
10.0,14.1761
11.0,14.1639
12.0,14.1977
13.0,14.1781
14.0,14.1735
15.0,14.2012
16.0,14.1878
17.0,14.2411
18.0,14.1878
19.0,14.2254
20.0,14.1955
21.0,14.2093
22.0,14.2163
23.0,14.2326
24.0,14.2431
25.0,14.2247
26.0,14.2384
27.0,14.2279
28.0,14.209
29.0,14.2411
30.0,14.206
31.0,14.2327
32.0,14.2144
33.0,14.2332
34.0,14.1947
35.0,14.1976
36.0,14.245
37.0,14.2296
38.0,14.2384
39.0,14.2441
40.0,14.2038
41.0,14.1978
42.0,14.207
43.0,14.2265
44.0,14.2655
45.0,14.2137
46.0,14.1929
47.0,14.2481
48.0,14.1812
49.0,14.2203
50.0,19.0379
51.0,22.3687
52.0,24.2108
53.0,25.1809
54.0,25.7474
55.0,26.3359
56.0,26.8377
57.0,27.4115
58.0,27.9437
59.0,28.5575
60.0,29.1557
61.0,29.795
62.0,30.3402
63.0,31.0139
64.0,31.6394
65.0,32.3525
66.0,32.9358
67.0,33.6107
68.0,34.2657
69.0,35.0184
70.0,35.7101
71.0,36.4269
72.0,37.1443
73.0,37.9595
74.0,38.7249
75.0,39.3856
76.0,40.0944
77.0,40.7983
78.0,41.5244
79.0,42.1804
80.0,42.8659
81.0,43.5078
82.0,44.1117
83.0,44.6726
84.0,45.219
85.0,45.7948
86.0,46.2353
87.0,46.6429
88.0,47.1106
89.0,47.4519
90.0,47.8915
91.0,48.266
92.0,48.6545
93.0,48.8821
94.0,49.1696
95.0,49.3665
96.0,49.4999
97.0,49.6837
98.0,49.824
99.0,49.9163
100.0,49.6364
101.0,49.2167
102.0,48.8351
103.0,48.5592
104.0,48.4723
105.0,48.2262
106.0,48.1294
107.0,47.869
108.0,47.6329
109.0,47.3622
110.0,46.9584
111.0,46.594
112.0,46.3067
113.0,46.039
114.0,45.544
115.0,45.3186
116.0,45.1999
117.0,45.1473
118.0,45.3366
119.0,45.4084
120.0,45.428
121.0,45.5533
122.0,45.8406
123.0,46.1525
124.0,46.5975
125.0,46.9402
126.0,47.2648
127.0,47.5592
128.0,47.8586
129.0,48.0432
130.0,48.4151
131.0,48.5966
132.0,48.7408
133.0,48.8964
134.0,49.0497
135.0,49.1708
136.0,49.3427
137.0,49.418
138.0,49.6463
139.0,49.7283
140.0,49.8308
141.0,49.9641
142.0,50.0415
143.0,50.0686
144.0,50.1622
145.0,50.2007
146.0,50.3007
147.0,50.365
148.0,50.392
149.0,50.3981
150.0,50.4841
151.0,50.5009
152.0,50.5144
153.0,50.6766
154.0,50.7031
155.0,50.7657
156.0,50.8362
157.0,50.8637
158.0,50.8811
159.0,50.9639
160.0,51.1288
161.0,51.3033
162.0,51.3793
163.0,51.9623
164.0,49.3834
165.0,50.9946
166.0,52.4135
167.0,53.5397
168.0,54.2604
169.0,54.723
170.0,54.9664
171.0,55.1602
172.0,55.2565
173.0,55.3079
174.0,55.5677
175.0,55.4354
176.0,55.1016
177.0,54.9719
178.0,55.0953
179.0,55.0879
180.0,55.0769
181.0,55.0513
182.0,54.9193
183.0,54.9126
184.0,54.9399
185.0,54.9527
186.0,55.1178
187.0,55.3285
188.0,55.5883
189.0,55.8301
190.0,55.9649
191.0,56.0838
192.0,56.2756
193.0,56.3866
194.0,56.4873
195.0,56.548
196.0,56.5654
197.0,56.5541
198.0,56.6584
199.0,56.7086
200.0,56.778
201.0,56.8918
202.0,56.9189
203.0,56.9602
204.0,56.9602
205.0,56.9607
206.0,56.9944
207.0,57.1324
208.0,57.146
209.0,57.1613
210.0,57.3436
211.0,57.3848
212.0,57.4875
213.0,57.461
214.0,57.5323
215.0,57.5326
216.0,57.5867
217.0,57.6093
218.0,57.6917
219.0,57.7977
220.0,57.6698
221.0,57.7247
222.0,57.6911
223.0,57.74
224.0,57.7491
225.0,57.8069
226.0,57.8595
227.0,57.8384
228.0,57.9071
229.0,57.8348
230.0,57.8914
231.0,57.9069
232.0,58.0233
233.0,58.0219
234.0,58.1835
235.0,58.1897
236.0,58.2161
237.0,58.3575
238.0,58.3628
239.0,58.3542
240.0,58.383
241.0,58.3544
242.0,58.3214
243.0,58.1375
244.0,57.8541
245.0,57.6714
246.0,57.6214
247.0,57.5534
248.0,57.6035
249.0,57.6593
250.0,57.6483
251.0,57.7247
252.0,57.7309
253.0,57.7631
254.0,57.864
255.0,58.0375
256.0,58.0769
257.0,58.118
258.0,58.2527
259.0,58.3223
260.0,58.3746
261.0,58.3983
262.0,58.4061
263.0,58.4052
264.0,58.4753
265.0,58.3749
266.0,58.453
267.0,58.5466
268.0,58.4084
269.0,58.4187
270.0,58.3799
271.0,58.2637
272.0,58.2102
273.0,58.3059
274.0,58.2751
275.0,58.3063
276.0,58.351
277.0,58.2505
278.0,58.3067
279.0,58.2648
280.0,58.2584
281.0,58.3144
282.0,58.3664
283.0,58.3455
284.0,58.4004
285.0,58.1984
286.0,57.8984
287.0,57.8649
288.0,57.7548
289.0,57.6015
290.0,57.6632
291.0,57.5765
292.0,57.4407
293.0,57.422
294.0,57.4988
295.0,57.3096
296.0,57.5092
297.0,57.5197
298.0,57.6383
299.0,57.6872
300.0,57.7614
301.0,57.7345
302.0,57.8063
303.0,57.8605
304.0,57.7788
305.0,57.8248
306.0,57.923
307.0,57.9936
308.0,57.9967
309.0,58.0143
310.0,58.0277
311.0,57.9969
312.0,58.0834
313.0,58.113
314.0,58.0126
315.0,57.4315
316.0,57.1075
317.0,57.0753
318.0,56.9982
319.0,56.9422
320.0,56.9232
321.0,57.0428
322.0,57.0752
323.0,57.2952
324.0,57.4023
325.0,57.4209
326.0,57.6074
327.0,57.7796
328.0,57.9244
329.0,58.0432
330.0,58.173
331.0,58.1396
332.0,58.2898
333.0,58.3873
334.0,58.3513
335.0,58.4669
336.0,58.4101
337.0,58.4384
338.0,58.5193
339.0,58.6044
340.0,58.6225
341.0,58.7195
342.0,58.7205
343.0,58.7276
344.0,58.8413
345.0,58.7995
346.0,58.8137
347.0,58.8939
348.0,59.0359
349.0,59.0164
350.0,59.0421
351.0,58.9283
352.0,58.8379
353.0,58.8637
354.0,58.8339
355.0,58.8205
356.0,58.8268
357.0,58.8874
358.0,58.8423
359.0,58.9525
360.0,58.8284
361.0,58.8185
362.0,58.8219
363.0,58.8748
364.0,58.937
365.0,59.0263
366.0,58.9733
367.0,58.9691
